Tweet,Intelligence,Determination,Calmness,Politeness,Aggression,Sophistication,Incoherence,Rudeness,Stupidity,Articulation,Unsophistication,Laziness
I was the opposite. I got 3 episodes in before I realized the gitls aptwas outside dionysus. Good show.,3,2,3,3,1,2,4,1,2,2,3,3
I went to go run and went right back inside. Not because ofthe rain but the wind.,3,2,4,3,1,3,2,1,1,3,2,2
"Hi my Tweety Birds, Nazarene mbc Youth were Awesome last nite at there midnite musical,Go ya'll&God bless u:-) :-) :-)",3,4,4,5,1,2,2,1,1,3,4,2
If You Go See That Movie Snitch With The Roc InIt You A MF SNITCH!!!!!!!,2,3,1,1,4,1,3,4,3,2,5,2
* mfs talmbout they about to pull an allnighter knowing they finna besleep in 10 minutes .,3,2,3,2,2,2,3,3,2,3,4,4
Anybody who did is a bitch nigga for being fake tellem I said that lls,2,3,1,1,5,1,3,5,3,2,5,2
I RIDE FOR ANY NIGGAH I CALL BEST FRIEND . BRUDDA . DIARY . OTHA HALF . ETC . IF U AINT ONE OF DEM I THINK U NEED TO GETON MY TEAM ASAP RNS,2,4,2,1,4,1,3,3,3,2,5,2
I hope she screenshot everything because like I said I wasjust playing the role,3,2,4,2,3,3,2,3,2,3,3,2
"Why do black people think you'll remember a person if they say a name twice? ""You rememberJohnny?"" ""No just black people",2,3,3,1,4,1,3,5,4,2,5,3
Soo bob are you with that shit? Lls! You fuck with Boney back ass Iesha beforeyou fuck with me? Respect,2,3,1,1,4,1,3,5,3,2,5,2
I wanna lick you from your head to your toes but I'm lying I hate feet so I'll lick fromyour head to you know,3,2,2,1,3,2,4,3,3,2,4,3
"Had to get up and go to Church, gotta get all the sinningfrom last night off lol",3,3,4,3,2,2,2,2,2,3,3,2
Omg we had them beat an we let them come backlike this come on ravens,2,4,1,2,4,1,3,3,2,2,4,1
really?... You dick sucking like that? Smh and I bet you still ain't get thatretweet you was craving for.,2,3,1,1,5,1,3,5,3,2,5,2
I seen that bitch a handful of times how she know hoeI dress for real? Lls,2,3,2,1,4,1,3,5,3,2,5,3
yeah last year they have to drill up my nose and I will haveblack eyes and shit smh,2,3,2,1,3,1,4,3,3,2,4,3
Every real nigga know if you tryna fuck a girl.. You gon do what yougotta do to fuck her,2,4,2,1,4,1,3,4,3,2,5,2
One day I was babysitting my Lil cousin and Jason was playing tug of war with her... Shewas stronger than he expected.....,3,2,3,3,2,2,2,1,1,3,3,2
Just scene a nigga with a cardboard license plate not even in the windowjust straight in the car,2,3,2,1,3,1,3,4,3,2,4,3
Taking vitamins to be natural.. Obviously it's not natural if youtaking vitamins to get it,3,2,3,2,2,2,2,2,2,3,3,2
Today only everything half off COVER GRAPHICS.. PROMOTIONS ..STUDIO TIME .. For Pricing In YourDM Let's Make This Bread,3,4,2,2,3,2,3,2,2,3,4,2
Happy rushing to the liquor store the day before all your family shows up for thanksgiving so you can make itthrough the day day :-D,3,4,2,2,3,2,2,3,2,3,4,3
The Birds get the W! Now let's see if we can do the same at homewith the next three games.,3,4,3,3,2,2,1,1,1,3,3,1
White lady was straight leanin on the black postal lady smh thoughtI had to record it,2,3,2,1,3,1,3,3,2,2,4,2
"at this rec looking for food n sips"" I wish Icould come out for sips",2,3,3,3,1,2,3,2,2,2,4,3
I'm sippin now n my boo cookin so I will tell u aboutSVU go have fun boo,2,3,4,3,1,1,3,2,2,2,4,3
It amazes me how ppl won't even have a twitter but willknow everything that's going on!,3,2,2,2,3,2,2,3,2,3,3,2
"Donte biggy smalls Chian faith Evans and I'm lil Kim ""Lil Kim got betta pussy",2,3,2,1,4,1,4,4,3,2,5,3
"My day going the opposite way I just jumped out thecar with it in drive""",2,3,1,2,3,1,4,2,4,2,5,3
"big ones too"" so u think u better then me huh! I'mcome through shining on y'all",2,3,2,1,4,1,3,4,3,2,5,2
If you get to feeling stressed up in your chest thinking youabout to lose! It's true,3,4,2,2,3,2,3,3,2,2,3,2
If I don't like you then that's says a lot about you! CauseI get alone with everybody,3,4,2,2,3,2,2,3,2,3,3,2
no u should only need a wash & style and it should bemuch! Do u like it?,2,3,3,2,2,1,3,3,3,2,4,3
"I wanna try a caramel frappe so bad, scared imma be addicted too"" yessgawd!! They are the devil",3,2,2,2,3,2,3,3,3,2,4,3
If you think I caught a feelin' when I heard about that other chickI already knew about it!,3,4,2,2,4,2,3,3,2,3,4,2
I just needed time just to clear my mind and ask myselfWhy I didnt handle him?,3,3,3,3,2,3,2,2,1,3,2,2
"Y are social network niggaz so messy lol "" they oldclowns with something to prove",2,3,2,1,4,1,3,4,3,2,5,3
These females owe us no loyalty unless we kno them other then that it'sYOUR MAN THATS WRONG Right,2,3,2,1,4,1,3,4,3,2,5,2
"Well my boyfriend girlfriend has been takin him away from me ""no minessssher lil ugly ass """,2,3,1,1,4,1,4,5,3,2,5,3
"Mike just bit me in the face, he acting real goofy""o yea tell him come get his son ""ard he said he coming",2,3,2,1,4,1,3,4,3,2,5,2
"Am I the only 1 that wants to see the hunger games""noI do"" it looks good",2,3,3,3,1,2,3,2,2,2,3,2
"I don't like carrying umbrellas I rather just ... But this rain cold !out there !"" Yes gawd",3,2,2,2,1,2,3,2,2,2,3,3
"That Rain In Da Fuccin Way"" yes it is"" I Just Wish It Stop""u ain't the only 1",2,3,2,1,3,1,4,3,3,2,5,3
"You didn't even holla at a real nigga ....dfl"" I know mannn a lil busy !! LolI'm come pass tomar though!",3,4,3,2,3,2,3,3,2,2,4,3
"I really don't know how to lie"" I always get caught up or tell on myself""man I'm working on it",3,4,3,4,1,3,2,1,1,3,2,2
"I just want to say that if something happens to me, know that my life has beenthreatened several times this month.",3,4,2,3,2,3,2,1,1,3,2,1
"he has all his weapons now, the bye week is over. TB12and also the pats D.",3,4,2,2,3,2,2,2,1,3,3,1
just saw a Andre Williams highlight from different game. How is he different from hiscontemporaries? Please school me sir.,3,2,3,4,1,2,2,1,1,3,3,2
"y'all fuckers put everything on twitter , you taking yo last breathes updating a tweet saying""r.i.p to me y'all """,3,2,2,1,4,2,2,4,2,3,4,2
"You Eat Dicks For A Living, Talking Bout Don't Drink OutMy Bottle Cant Zeal",2,3,1,1,5,1,4,5,3,2,5,2
If the nigga dnt want u he dnt want u changing his number to another phone to talk to his other bitches still meanshe dnt want u! dumbass,2,3,2,1,4,1,3,5,3,2,5,3
"I'm not check my TL no more, y'all talk about some of the dumbeststuff and everybody DEEP THINKERS",3,3,2,2,3,2,3,4,2,2,4,3
"I always been the same ! I never changed .. People love me for it , and others stopped messing with me because it eitherway ! Truth was me",3,4,3,2,3,2,3,3,2,2,4,2
"Crazy how amazing the power of the Black man is!!"". You should try being a whiteman! Its freaking amazing!!!! Lmfao!",2,3,2,1,4,1,3,4,3,2,5,2
"wtf yo, i just fucked my leg up in a bus accident.. stupid assdriver ""sue them niggas bro",2,3,1,1,4,1,3,4,3,2,5,3
Could we be looking at a new Champion. The title would lookgood on Big Shows shoulder.,3,4,3,3,2,2,1,1,1,3,3,2
goes country.. I can't wait to see what kind of outfit santinoand khali will appear in.,2,3,3,3,1,2,3,1,2,2,3,2
So Goldberg jr. Has a challenge for anyone on the roster can wait tosee who accepts the challenge,3,4,2,2,4,2,3,3,2,3,3,2
MerrillHood Nigga Ah Bitch Cant Get the Rest Of Me Acky Nd The kitchen Ad HeFlipping Up The recipe .......,2,3,2,1,4,1,5,4,3,1,5,3
*singing* morning wood makes me feel fine-ine...... damn I forgot the wordslol Good morning then lol,3,2,4,3,1,2,3,2,3,2,4,3
They say you cant turn a bad gurl good cuz when a good gurl turns bad shes gone forever. Now I gotta live wit the fact Idid her wrong f ...,3,2,2,2,3,2,3,3,2,2,4,2
Changing lanes the opps tryna catch me im ghost on theyass lmao over turnt tonight,2,3,2,1,4,1,3,3,3,2,5,2
"Pro 40:9 I have preached righteousness in the great congregation: lo, I have not refrained mylips, O LORD, thou knowest.",4,5,3,3,2,4,1,1,1,5,1,1
Yhu can call me ugly ' & i still wouldnt give af ' cause thata be dumb af !,2,3,4,1,3,1,3,4,3,2,5,3
Ok so this morning I was fine but I don't feel good atall I hate being sick.,3,2,2,3,2,2,2,1,1,3,3,2
I'm really trying to make an AU game before the season is over. UGA hopefully cause I can'tafford no damn iron bowl,3,4,2,2,3,2,3,2,2,2,4,2
I saw them by bridge street last night. 6 buses. And Ihope it ain't too ugly,2,3,3,2,2,1,4,2,3,2,4,3
Jameis Winston is the man on Florida St campus. I highly doubt he has to rape any bitch. That white bitch want money2 pay off student loans,2,3,2,1,4,1,3,5,4,2,5,3
naw fuck bama. Baylor need to lose and I don't know why Oregonis still even up there,2,3,1,1,4,1,3,4,3,2,5,2
Father God Bless you to thank you for your Prayers and WeLove you all in JesusChristName.,3,4,4,5,1,2,2,1,1,3,3,1
Hate when I come to break n I don't have a missed text phonecall FaceTime or nothin smh,2,3,2,2,3,1,3,3,2,2,4,3
Bitch Calling Niggas There Brothers & Cousins After They G Her OutSmh!!! Shit Bitches Say Lmao,2,3,1,1,4,1,3,5,3,2,5,2
Even Tho I Had Yo Gotti - I Am Album Weeks Before It Came Out... Just Got Finish Listening ToIt & It's A Classic!!!!!,3,4,3,2,2,2,3,2,2,2,4,2
"BCU 29 FAMU 10. The FAMU Marching 100 is back, but they couldn't handlethe BCU Wildcat Marching Band.",3,4,2,2,3,2,1,3,2,3,3,1
"thoroughly enjoyed the Tribute. We remember her fondly though we were not supposed to hear, wedid. Who will be next?",3,2,3,2,3,3,2,2,2,3,2,2
This shit crazy feelin for hope for speedy recovery! I know hegoin to take his time!,2,3,2,2,2.5,1,4,2,3,2,4,2
Niggas out here crack me up when they wit there chick! They try to let u know that they 2gether by grabin thereass & shit like that!,2,3,2,1,3,1,3,4,3,2,4,3
That LITTLE UGLY GIRL HOTT IMA LET HER THINK SHE DID SOMETHING SHE ANIT DO SHIT HER MAN BEGGIN ME TO STOP SO ILLDO ..I GUESS SHE SICK,2,4,1,1,5,1,4,5,3,2,5,2
"I don't wanna go out tonight but it's a celebration that I don'tthink I sure miss """,3,2,3,3,1,2,4,2,2,2,3,3
"School & basketball wit my son takes all my time I need a home cooked meal ""what happened to u cooking??""",3,4,3,2,2,2,2,2,1,3,3,2
"They only good on the grill!! I Luv turkey burgers nI want one now """,3,2,4,3,1,2,3,1,2,2,4,2
My next bitch will not smoke iont even smoke so why would I wantyo stank breath ass to,2,3,1,1,4,1,4,5,3,2,5,3
"My mom has about 10 sores on her body, from head to toe, some of them so severe, that her doctor estimates it wouldtake a year/more to heal",3,4,3,4,1,3,2,1,1,4,2,1
Ijust asked my baby y she putting all that grease in her baby hair she Tom bout cuz im finna let itgrow smh grown lil lady,2,3,2,2,3,1,4,3,3,2,4,3
I really want to apologize to cuz that's wrong for me to come out my mouth and say big wildshit like that to her,2,3,2,3,3,1,3,2,2,2,4,2
Vic fuckin my old bitch nunu she acting like she didn't fuck him bitch that's my Brova u thinkhe not gonna tell me,2,3,1,1,4,1,4,5,3,2,5,3
Look out for the first episode of the Verse One Show as early asthe first week of December.,4,4,3,3,1,3,1,1,1,4,2,1
My dream last night - was at my house and rocked my daughterto sleep. Trying to interpret?,3,2,4,4,1,3,2,1,1,3,2,2
Thanks for small flat rate priority boxes. I'll remember to use one if I evership a $.99 VHS tape,3,2,4,3,1,2,1,1,1,3,3,2
dept of Commerce and insurance is a great advocate for Tennessean consumers and businesses.Glad she is in TN!,4,3,4,5,1,3,1,1,1,4,2,2
Watchin Eminem on BET and let m tell u this dude speaks his mind no matter what!! He gone give u the real all thetime!! Luv this dude here!,3,4,2,3,3,2,3,2,2,3,4,2
"It's really damn cold at this game, but watching the Niners pick one offhas me feeling pretty good.",3,4,3,2,2,2,1,2,1,3,3,2
Lovin my daughter n her lovin me back is da greatest love of all.datsall da love I need!,3,4,4,4,1,2,3,1,2,2,4,2
"Lonely days I can deal wIt bt lonely nights ain't wat I want...smh..I don't wait fa love,it wait upon me. Don'trush feelings,I wait to feel",3,3,4,3,2,3,2,2,1,3,3,2
"Omg without makeup Yall bitches are beasts,even so Yall goes look like Homer Da Clown! Fuckin return of Daliving dead Kmsl ..just saying*",2,3,1,1,5,1,3,5,4,2,5,3
She Might Of been there from The Beginning But it Only matters who gonebe there at the end,2,4,3,2,3,2,3,2,2,2,3,2
"Holiness is not through worship, meditation ,or sacrifices. It's through focus onour responsibility toward other people.",4,4,3,4,2,4,1,1,1,4,1,1
"don't talk or listen. They observe and if it interests them then they pay attention.""Wow this is really me!",4,3,5,3,1,4,1,2,1,4,2,2
Gonna be great her and my southern cousin think he gonna see his floridapiece lol pray for him,2,3,3,2,2,1,4,2,3,2,4,3
2 be clear NO Illinois Bruhz won any step show in Illinois in 20years before 07 did it....,3,4,2,2,3,2,3,3,2,2,4,2
I wanna thank and Nashli for setting me and my ace out to 03. Yall was making sureand we appreciate it! LBVFS,2,3,3,4,1,1,4,1,2,2,5,3
I love where my life is going. I got my eye on everyone.Everyone has a fair chance,4,5,3,3,2,4,1,1,1,4,2,1
dats cuz he naturally a fat boy...mogs don't even notice I swap out profile pixover last 6 years lol,2,3,3,1,3,1,4,4,3,2,5,4
My bro said pray for my exs sad one said she gonna deal wit a new caliber dudes aka gold digger lolmust be a southern thing,2,3,2,2,3,1,4,3,3,2,5,3
2 all the single chicks dat don't need a man and taking they xmas tree out tothe alley this wkend lol,2,3,3,2,2,1,3,3,3,2,4,3
"I'm happy is shit. Dem new SHOES that just came out bout tobe on my feet!!-fck yea,,,",2,4,2,1,3,1,3,4,3,2,5,2
I been talking this ignant (but true) shit for over 15 years...but NOW its hitting home one 30scome into picture...imma chill tho,3,4,3,2,3,2,3,3,2,2,4,2
Yes I'm a bears fan. If after 9 years Frazier is not making the playoffs consistently they yeahe probably will be fired.,3,3,3,3,2,2,2,2,2,3,3,2
I think 2morrow imma tweet in opposite all day....say the exact opposite of what I'm thinking atthe moment. Who wit me?,3,4,2,2,2,2,3,2,3,2,4,3
LOL yea its rough. Just relax and know ppl are trying their best and that means a lot. Plus arent uplanning the all girl day?,3,2,4,4,1,2,2,1,1,3,3,2
"yea C's need to think about the future, they are not winning withthe team they have now.",3,4,3,2,3,2,2,2,2,3,3,2
I could preach a whole sermon on mogs dat look at immediate needs andneva long term...but yea nvm,3,2,2,2,3,2,4,3,2,2,4,3
This nigga just folded chicken up .....he a beast and cantbe stop .....they gotta foul,2,3,2,1,4,1,3,4,3,2,5,3
This girl said I got her in the friend zone.... naw bitch its the I ain'tfuckin wit yo ass zone,2,3,2,1,4,1,3,5,3,2,5,2
Gimme a Gangsta Hoe one that Don't Give a Fuck andthat a Shank the Hoe!,2,3,1,1,5,1,4,5,4,2,5,3
Why Do Hood Barbers cut the best but neva on time? Its like they KNOW u notgonna fuck with anyone else...,3,2,2,2,3,2,3,3,2,3,4,3
"Just when u think that things are making a turn 4the worst, God shows you that he has bigger nbetter things planned 4 u.",3,4,4,4,1,3,2,1,1,3,2,2
Aye I'm thinking about doing crossfit cuz I'm sick of seeing non hoopersrepresentation in dem classes lol,3,4,2,2,3,2,3,2,2,3,4,2
Man I just wanted to make me some cheese eggs n grits and it turn into breakfastfor the whole fam Smdh,3,4,2,3,2,2,2,2,1,3,4,2
Really gonna use this deepfryer and try out this Jerk DeepFried Chicken RecipeI got in my head...,3,4,3,3,2,2,2,2,2,3,4,2
"We took Nyla to the doggie park Saturday. She had a ball! Making""friends"" like they're human lol",3,2,4,4,1,2,1,1,1,3,3,2
Tierra better be glad she's having a bad day lol bc I wasjust about to fire her,2,4,2,1,4,1,3,4,3,2,5,2
2 every Aux Member of a D9 that wish they could celebrate with DST but chose to have1 letter and a Symbol.,3,4,2,3,2,3,4,1,2,2,3,2
"ion trust naan bitch round my man she gotta be his sister cuzn mama or aunt cuz Idon't mind being rude !""",2,3,1,1,4,1,3,5,3,2,5,2
This chinese restaurant slow cooks these pigeons to perfection...makes me feel likethis realy chicken and beef.,3,2,3,2,1,2,4,2,3,2,3,2
How they going act when I finish this 2nd one? Orwhen I get that Phd?,3,4,2,2,3,2,2,2,1,3,3,1
"2 all the club promoters that wanna capture the ""greek"" market but neva went to school 2understand how it get intune",3,4,2,2,3,2,3,3,2,3,4,2
Travis wants to go to a Nets game in BK. Thinking that might be afun day trip megabus action!,3,3,4,4,1,2,1,1,1,3,3,2
The amount of liquor I drunk last nite was ungodly...But I didn't have a lick ofa hangover...Thank you Patron God.,2,3,3,2,1,1,3,2,3,2,4,3
On New years i was right by my aunt house . I shouldve wentto see && Raquel .,2,2,3,2,1,1,4,2,3,2,4,3
When u have 1 of the Best Defenses in the league u always give ya self a chanceto make noise in Playoffs,3,4,3,2,3,2,2,2,2,2,3,2
online identity theft is nothing new...most times the owner of thepix never find out. Ever.,3,2,4,2,3,3,2,3,2,3,3,2
let me find out bitches on twitter talking shit bout something that happen last year. kill yourself hoe .,2,4,1,1,5,1,3,5,3,2,5,2
we got Kcups in my office...and I'm not a coffee drinker but I knowthis makes us fancy lol,3,2,4,4,1,2,2,1,1,3,3,2
"Must be nice, Having someone who trusts you despite what they've heard, Someone as mighty as a lion but stillas gentle as a bluebird.",4,3,4,4,2,4,1,1,1,5,1,2
Just cursed out my lil bros for not picking up they phones that EYE broughtdem...fuckt hey think they are?!,2,3,1,1,4,1,3,5,3,2,5,2
"Ive Got. . 2Tickets To PARADISE . . . , Wo Wo Wo Woo.. Wooo Wooo Wooo .",2,3,2,3,1,2,4,1,3,2,4,3
From the look of my I see hardly no one works 2day...and I nevahad this day off before.,2,3,3,2,2,1,4,3,3,2,4,3
if your point is that i dont hold you to the samestandards as my self...your correct.,3,2,3,2,2,2,3,3,2,2,3,2
I'll try tomorrow. This flu has been kicking my ass for a week now.I need a nurse! Lol!,3,2,3,3,1,2,2,1,1,3,3,3
maaaaan dat would be the ultimate Kiss my ass move...but MIAcan't afford him AT ALL...,2,3,2,1,4,1,3,4,3,2,5,3
yeah...just would help if I didn't have Ebola! Lol! Don't want to be the outbreak monkey at work. Thinkthat's how I got sick.,3,2,3,3,1,2,2,1,2,3,3,2
I'm not a PTO user unless I have some fun shit to do...I goin no matter the weather,3,4,3,2,3,2,2,3,2,3,4,2
"Nicki no dag on well she didn't wanna say yes , but she was like I mind as well causeshe goin get through anyway",2,3,3,2,3,1,4,3,3,2,4,3
and when I couple the fact that I'm now paying back (paid forit) I feel nausea lol,3,2,2,3,1,2,3,2,2,3,3,2
"This btch stupid af on this movie , I wanna jump through the screen& smack her ass -_-",2,3,1,1,5,1,3,5,3,2,5,3
"Lil Buddy looking for Connects..I aint got any for him...all I got is same ole ""work hard as shit over time and ifthey don't pay ya BOUNCE""",3,4,3,2,3,2,2,3,2,3,4,2
"Kickin doors, shouting, shooting. Police called, came quick, not quick enuf. Thugs return, police called,back in seconds! 3 ARRESTED.",2,4,1,1,5,1,3,4,3,2,5,2
It aint Fuck dude...but more so I don't understand the process of Mentoring...why I gotta tell uwhat u need to do?,2,3,2,1,4,1,3,4,3,2,5,3
And AYE! Stop using my fucking Govt Name on here! That'sTwice in 10 mins! Lol,3,4,2,1,4,2,3,4,2,3,4,2
About to call it a night and catch sum zzz tired and my princess not sleepy at allplease cum get yo child,2,3,3,2,1,1,3,2,2,2,4,3
This jazz right now>>>>>>So soothingit just takes my mind off of shitthat I be thinking about,3,2,4,3,1,2,2,1,1,3,3,2
"Sitting On My Bed Bored AF >>>>> Wishing My Future Was Heraaa :), But He Not -_-",2,2,3,2,1,1,3,2,2,2,4,4
"I also went on ""swimming dates"" by saying I was goingto pool who wit me?!",3,4,3,3,2,2,2,2,2,3,3,2
U right! I did lie! aint makin it to NFC champ game. Notif def playin this way!,2,3,2,2,3,1,4,3,3,2,5,3
Only if they lose by 3. If they win by 7 then will be all about his guts. Better to do itearly in game than late.,3,4,2,2,3,2,3,2,2,2,3,2
"yea but I can't see 11 months making it, NOW u need extra check to make it tho...and Iknow bout that poor life",2,3,2,2,3,1,3,3,2,2,4,3
"Profound understanding. is like the incredible hulk.. take me at my best ormeet me at my worst.""",4,3,2,2,4,3,3,3,2,3,3,2
All dat education and still having to suck dick in the back of the DatingGame has to be humbling...,2,3,1,1,4,1,3,5,3,2,5,2
Sideline security guard back prolly broken after such a clean hit. Somebody about tocash in on disability soon!,2,3,2,1,4,1,2,4,3,2,4,2
Ppl watching downtown has to be some of the funniest shitu can do down here.,3,2,3,2,2,2,3,3,2,2,4,3
"Sideline hate? The more dominant the Falcons are early, the more likely I think they will lose. And Iwant them to win .""",3,3,2,3,2,3,2,2,2,3,2,2
Hey I'm wondering how Brady getting fined for nearly kicking a hole thru Reed? Had noprob getting Suh tho huh?,3,2,2,2,4,2,3,3,2,2,4,2
Aye I insulted ur height as a man...I need a rebuttalfor my pls and thanks,2,3,2,1,4,1,3,4,3,2,5,3
Technology is the ultimate Can be so simple yet complex. Everytime you think you figured it outthere is more to learn.,4,3,3,3,1,4,1,1,1,4,1,1
"I figga if u can bring ya self to even do some hoe acts, your fargone. Eg GangBang by Hoopsquad",2,3,2,1,4,1,3,4,3,2,5,3
"""#Sagittarius & have a connection that is out of this world. When they fall in love there isno falling out of it.""",3,4,3,4,2,3,2,1,1,4,2,2
U niggaz make it HARD for me to leave the crib! Especially after a good workout dat got me sore...,3,4,2,2,3,2,3,3,2,2,4,3
"He talking bout she must be a cover up, why is hewith her.. I was ctfu",2,3,2,1,3,1,4,4,3,2,5,3
"the min his team miss 3 open shots dat he pass up for the team,ak kobe will be back",3,4,2,2,4,2,3,3,2,2,4,1
"I forgot the best one was ""Forever Boy"".:-) :-) :-) :-):-) :-) :-) :-) <3",3,2,4,4,1,2,3,1,2,3,3,2
"I maybe petty, but I count the mins I work and stay schemingon 35 hours work weeks...",3,4,2,2,3,2,2,3,1,3,3,2
". Who Is My Momma To Tell Me How To Get My Hair , I Told Her She Gt HaOwn Head , She Bold!",2,4,2,1,4,1,3,4,2,2,5,1
"I wonder how many dudes getting called up to ""Boo"" status not knowing they beingused to Valentine Day Dates...ONLY!",3,2,2,2,3,2,3,3,2,3,4,2
we actually had a great time and was served by a nonflamboyant homosexual...patronshots only 8 bucks 2!,2,3,3,2,3,1,4,4,3,2,5,3
"The Lord is good, a refuge in times of trouble. He cares for those who trustin him - Nahum 1:7",4,4,5,5,1,4,1,1,1,5,1,1
"Its cute that yall have been together for so long, but it doesn't meananything if you weren't faithful",3,4,2,2,4,3,2,4,2,4,3,2
"""God will keep sending the same ppl across your path until u learn the lesson u aremeant to learn from them.""",4,3,4,4,1,3,2,1,1,4,2,2
"Asking somebody to do something instead of telling them, and saying thankyou makes all the difference",4,3,4,5,1,4,1,1,1,4,1,2
Today is my last day drinking pop and cuttin back on drinkingalcohol.! My kidneys are bad.!,3,4,3,3,1,2,2,1,1,3,3,2
"this is Olivia & I am in NOLA & Tunein is not connecting-Letme in, let me in.",3,4,2,3,2,2,3,2,2,2,3,2
When I tell Halston my plans for next few months his expressionis going to be this,3,4,3,3,2,3,2,2,1,4,2,1
this would be the biggest swerve in wrestling history. You working with the shield.Them destroying punk and heyman.,3,4,2,2,3,2,2,2,2,3,3,2
"Duh its called drowning, tell me shit I don't no Bitch. You can diefrom drinking too much water.""",2,3,1,1,4,1,3,5,3,2,5,2
u guys r so CORNY! Ha get it. Cause the dogsnickname is.. Ahh fuck it.,2,3,2,1,3,1,4,4,3,2,5,4
Wat y'all see us spending we can afford to do it Cus we ain'tbring it all wit us,3,4,4,2,2,2,3,2,2,3,4,3
merchhhh u can . Awee nd go talk to dhat lil bitchdat wanna fuck widdchuu !!!,2,3,1,1,5,1,4,5,3,2,5,3
That Weird Feeling When You Got Headphones In Yo Ear AndYou Think Somebody Calling You,3,2,3,3,1,2,3,2,2,2,3,3
U THINK IM PLAYING IM DONEEE ! ON STONEE IM NOT FENNA KEEPARGUIN WIDDCHO BITCHESS BOAA !,2,4,1,1,5,1,4,5,3,2,5,2
"Right, Ran Script With A Straight Face To The Po Po...That Devil PunanyTurnt Him The Fuk Out...",2,3,2,1,4,1,4,4,3,2,5,3
Fuck That You Win Some And Lose Some And This Time Shid I LostThe Love Of My Life,3,4,2,1,3,1,3,4,2,2,5,3
Ik y she mad nd I hate it. I wish it was a way I cld save her. I hatehoes dat make her mad.,2,3,2,2,3,1,3,3,3,2,4,3
"These bitches love Sosa. Man, who the fuck is Sosa??? And what is a cobra? Is thatthe same as a choppa?",2,3,2,1,4,1,3,4,3,2,5,3
They say Dick Clark Has a Rockin New Tears Eve but I know that GreaterHarvest is ROCKIN right now!!!!,2,3,3,3,2,1,3,2,3,2,4,2
I really don't care who u kno. I'm just telling u what u look like(sorry if I sound rude),3,4,2,2,3,2,2,3,2,3,4,2
I keep telling you my answer but you don't listen I don't think it registers to you but if you don't wantme around fine.....always told you,3,4,2,2,4,2,3,3,2,3,3,2
You and Phadera should sit down and talk you were very good friends don't let money or a tape orthe fakes come in between.,3,4,4,4,2,3,2,1,1,3,2,2
That's a text I'm not looking forward to one of my former students lost his battle with a rare muscle diseasetoday! Condolences to his Fam!,4,3,3,4,1,3,1,1,1,4,2,1
"im done with dealing with a nigga that aint mines like that chapterof my life ova """,3,4,2,2,3,2,3,3,2,3,4,2
And the final reason you know God IS KEEPING YOU IS BECAUSEYOU WOKE UP THIS MORNING!,2,4,2,2,3,1,3,3,3,2,4,2
"And I'm Hitting Ya Dame,MatterFact That's Ya Main,MatterFact I Never Fucked, SheJust Gave Me Some Brain",2,3,2,1,4,1,4,4,3,2,5,3
My bitch said boy u got a shoe fetish u ain't got 2 buyem cause they come out,2,3,2,1,4,1,3,4,3,2,5,3
Quiz posted for next week it's not due until Saturday at midnight I'm an over achiever I'm doing it rightnow at the bar lol,4,5,3,3,1,2,2,1,1,3,3,1
If u hustle still got 2 have a 9 2 5 keep them laws off urass and them thirsty hoes,2,4,3,1,4,1,3,4,2,2,5,2
"Congrats , you will be a beautiful bride! I still need to get to atl for a visit. Im going todo better in 13 lol.",3,2,3,4,1,2,3,1,2,2,3,3
However i dated someone who would never let me pay but he was very possessive so i agree youbenefit more by offering sometimes,3,3,3,4,2,3,2,1,1,4,2,2
I need 2 put my dam case on my phone iPonelike a new born :-(,2,3,2,2,1,1,4,1,3,2,4,3
"but it will all work out in your favor in the end , if they really are your friends! Just focuson you being a beautiful",3,4,4,4,1,3,2,1,1,3,2,2
Nigga you say you wanna take a ride! Get in! I grew up on theother side! Gettin it in!,3,4,2,2,4,2,3,3,2,3,4,2
awwwwww i wish and would love to. I so need to. I was so scared. After that wreck it effectedmy road tripping. Miss u,3,2,2,4,1,2,3,1,2,2,3,2
"I still got endless bottle of trashy peach Amsterdam left..lol"" yess u had endlessbottles left I'm ova dere",2,3,3,2,1,1,4,3,3,2,5,3
dang homie. I want to be like you when i grow up lol. What troubleyall get into in atl?,3,2,4,3,2,2,2,2,2,2,4,3
"remember Mer soccer game "" yea I used to be mad ass shit outthere ya was too wild",3,4,2,2,4,2,3,3,2,2,4,3
"Let the Truth be Told! ..hope u enjoyed the first episode"" it was great. Im gladyou coming into your own",4,3,3,4,1,3,2,1,1,3,2,2
Torn my acl in my back my back fried tryin lifta rack of clothes smh,2,3,2,2,3,1,4,3,3,2,4,3
"Haha MY MAN! Big Dante what's good wit it send me thosevideos lol""need ur number again",2,3,2,2,1,1,3,2,3,2,4,3
"that's good to hear but jus hit me whenever I got the same number""awe look at this lmao",2,2,3,2,1,1,4,3,3,2,4,3
"Money running from me thtz why im on dat paper chase, you betta hope he dnt run to you idgaf ima catch ah case some ofof yu niggas rap like",2,4,2,1,4,1,3,4,3,2,5,2
"Heavy d eating the chicken right out the grease ctfu , talkin bout u did dat lmao"" that shit burnt theroot of my mouf smfh",2,3,2,1,3,1,4,3,3,2,5,3
And fly niggas come third cause he might aint gt no money but he can still pull dabaddest bitch in da building,2,3,2,1,3,1,3,4,3,2,5,3
