Row,Original Index,Text,Intelligence,Determination,Calmness,Politeness,Aggression,Sophistication,Incoherence,Rudeness,Stupidity,Articulation,Unsophistication,Laziness
485,483,"The bitching I did 2 my bank to get 20 bucks put back into my accountwas petty as fuck lol
",3,4,2,3,3,2,1,2,1,3,3,1
486,488,"everything I have. I am greatful for it all. My family, friends, my life, love.. and thislist will keep going 
",4,5,4,5,1,4,1,1,1,5,2,1
487,485,"Sooo I picked up a Telemarketer call and 1st words out my mouth was ""now see don't chuwish u stayed in college?""
",4,3,2,1,3,2,2,4,1,3,3,1
488,487,"aye JUST like i predicted...he say he noticed my bag andsaid ""Gomab"" i was confused
",4,3,2,3,1,3,2,1,1,4,2,1
489,489,"people send those one word text messages. If it is less than 5 words then keep itto yourself lol ;-) 
",4,3,2,2,3,4,1,3,1,4,1,2
490,490,"I only know a small hand full of cute(and slim) zetas too...so that rs between thetwo makes total sense lowkey
",2,2,3,2,1,2,3,1,2,2,2,2
491,492,"What i also seen is Vacay pix of clearly the same place but NO pix postedtogether (ive dont it lbs)
",4,3,2,3,2,3,2,2,1,3,2,2
492,491,"Texting And Laughing With A Old Friend I Missed Him So Much Glad To Know That He Is HappyAnd In Goof,Faithful Relationship ❤❤
",4,3,4,5,1,4,1,1,1,4,2,2
493,495,"I don't know who blackmailed the Pope but it musta been some guys with big money and powerin world with crazy evidence.
",4,3,3,3,2,4,2,2,2,4,2,2
494,493,"mogs gonna be mad but yes...I don't remember Mike cooking at this kind of efficiency overthis long of a stint...
",3,2,2,2,1,3,2,1,2,3,2,2
495,497,"These Babies are the Crack Babies Babies...and even my professional problem solving ass don't knowwhere to begin 2 help
",4,3,2,1,2,2,2,1,2,3,2,1
496,494,"Chiaaaaa hiver de cet annee la bougo des faoncon il neige pas la cecome sa il fait froid
",4,3,2,3,2,3,1,1,2,4,2,2
497,496,"The fucked up thing about religion is that it is based on interpretation, and people's intentionsare often biased & questionable.
",4,3,2,2,3,4,2,2,1,4,2,2
498,498,"Hello is it possible for me to review your service on and how will it works on GSMphones like the Nexus 5
",4,3,3,4,1,3,2,1,2,4,2,2
499,500,"U eva on train and your eyes lock on the 1 person u know u gotta steal on 1st if shitbroke out? Naw? Ok nvm
",2,3,2,1,4,2,3,3,2,2,3,2
500,499,"In Wisc with my Geeky Developers and DBAs...awwwwh feel good 2 be the coolestguy in the building lol
",4,4,3,2,4,3,2,2,1,3,2,2
501,502,"Hey Fellow Asshole greeks, What's the Name of the Iota Founderthat became a Nupe again?
",3,4,2,3,2,3,2,1,2,3,2,2
502,501,"Hell Fellow Asshole greeks, What's the Name of the Iota Founderthat became a Nupe again?
",2,3,1,1,4,2,3,5,2,3,4,1
503,503,"Lol Chaz was too funny in that last skit and were the pillows supposed tobe like 2 bootycheeks? Lol
",4,3,3,3,2,3,2,1,2,4,2,2
504,504,"I see ppl post on they page and it show in my TLand I get freaked out.
",3,2,2,3,1,2,2,1,2,3,2,2
505,505,"but to answer ur question, they did nothing to me...its just color commentary, I use to use this Analyticskill for evil tho lbs
",4,3,2,2,3,3,2,2,1,4,2,1
506,506,"If you really love me an cared about me you would have stayed by my side not turn your back on me ansay false shit about me
",3,4,2,2,4,2,3,3,2,3,3,2
507,507,"In 09 I was purposely sending chicks off cuz I knewI was doing 2 much...
",3,4,2,3,3,2,3,2,2,3,3,2
508,508,"Man I hate I got involved with these women I choose to b a mother of my kids there selfish and bitter! Not at firstbut ya it came out!
",3,3,2,1,3,2,2,2,1,3,3,1
509,510,"Its 30+ chicks in Houston right now dats finally ""getting it"" in they head datthey aint got it anymore...
",2,3,1,1,4,2,1,4,2,2,3,2
510,509,"he just don't get it! That cockiness is what made it hard for him to stick in league(aside from lack of defense)
",2,2,2,1,2,2,2,3,2,2,3,2
511,513,"Got 4 choppas no 9's out I'm recess you timeout I'm playing wit it you fouled out be snapping one ofmy fave rappers no lie
",2,4,1,1,5,1,2,4,3,2,4,1
512,514,"den if he do cook he ghey? See no win...they confused B. Theysingle cuz they Damaged Goods.
",2,2,1,1,3,2,3,3,2,2,3,2
513,511,"I guess I will get a hair cut 2morrow...I'm the worse inthe winter time with this.
",3,2,3,4,1,2,2,1,1,3,2,3
514,512,"So Rich Dollaz is a Nupe huh? Yall just gimme way 2much ammo for greek slander...
",4,5,2,3,4,3,2,2,2,4,2,2
515,515,"U eva seen some ish someone Stunting on, on these internets and u think 2 ur self ""dats not fancy tho..""? I guess imma hater.
",3,4,2,1,4,2,2,4,2,3,3,2
516,517,"Im living and learning life is full of life lessons and i will neva go down this rode again being a goodnigga gets me no where
",4,3,2,2,2,3,2,2,1,4,2,2
517,516,"Damn who runs to there ex mate everytime sumthin goes wrong in yo current relationshipwhere they do dat at
",2,3,2,2,3,2,3,3,2,2,3,2
518,518,"that would fall into HIS problem..I'm more so wondering why woman view it sonegativity...other than Pictures look funny
",2,3,2,1,2,1,3,2,2,2,3,2
519,519,"Idk why her lil ass think she so big and bad.. But I'll cut youback down to size baby
",2,3,2,1,4,2,3,4,2,3,3,2
520,520,"maaaan imma order dat shitfor ONE wkend den call back and sayI didn't like it lol
",3,4,2,2,1,2,2,1,2,3,3,2
521,521,"you right though lol.. Niggas think the Vikings sweet! It was a good gameand Romo did his thing
",3,3,4,3,2,2,2,1,2,3,2,2
522,522,"as in Weight??? Sheeeid dats my old playing weight. And apparently Iwas ""cracked out"" den lol
",3,2,2,2,1,3,4,1,2,3,2,2
523,523,"in order for a female to get the respect moms get.. She would have to be the most loyal femalein the world these bitches...
",2,3,1,1,4,2,3,5,2,2,4,1
524,524,"lie cuz it get best results (his goal). If it was cut and dry bout sex itwould go into man favor...
",3,4,2,1,3,2,1,2,1,4,1,2
525,525,"but if a guy playing the ""we can be in a rs"" game he dead wrong if hisintentions is just to hit..but...
",4,3,3,3,2,4,2,2,1,4,2,2
526,526,"As I watch younger bruhz I notice the trend with the 90s bruhz and I see wherethe trend stopped with us...
",4,3,3,2,3,4,2,2,1,4,2,2
527,527,"I always expect the worst and hope for the best.. The easiestway to NOT be disappointed
",4,4,2,3,2,3,2,1,2,4,2,2
528,529,"fyi dat doesn't motivate me...My normal gene pool makes me naturally fit...you lil niggazhave to work for it.
",4,5,2,1,4,3,2,4,2,4,2,1
529,528,"dats some foogazy ish team! I see dem Zillow emails to...itsonly pockets of the city.
",4,3,2,3,2,3,2,1,2,3,2,2
530,532,"Liquor all on my breath.. Bitches all in my sight! Real niggas trynafuck.. Fuck niggas wanna fight
",2,3,1,1,4,1,3,3,2,2,4,2
531,531,"I don't never feel no type of way because I'm an asshole..That's just in my nature
",2,3,1,1,5,2,2,5,2,3,4,2
532,533,"I totally knew the value of friendship before I was the bruhz tho...justdidn't have words for it.
",4,3,3,4,2,4,2,1,1,3,2,2
533,535,"That moment a guy moves into a chicks house and 1st time he says ""Mycrib"" makes me laugh everytime.
",4,3,2,3,2,4,2,2,1,4,2,2
534,530,"I have a FB friend dat shall remain nameless that posts pictures of thingsshe ""wish"" she could get...TT
",3,2,3,2,2,3,2,2,2,3,2,2
535,534,"She said ""You bout to miss church."" while she riding me. I said I like my sundae'swith a cherry on top!
",3,2,1,1,3,2,4,3,2,3,4,1
536,536,"Can't get the job they WANT due to criminal and drug checks...don't have the perseverance toget the jobs dats available.
",2,2,2,3,1,2,3,1,2,2,3,3
537,537,"Im let my baby sleep , she looks so peaceful but if it was the other way aroundshe wouldn't let me sleep
",4,3,5,3,2,3,1,2,1,4,2,1
538,538,"When I'm riding down the avenue.. These bitches give me attitude, they screaming""Charles we mad at you!""
",2,4,2,1,4,2,3,5,2,2,3,1
539,539,"The only reason I don't like doing the dinning area is cause I hatedealing with drunk ass customers
",3,4,2,3,2,3,1,2,1,3,2,2
540,540,"Idk how much I could take no more.. I give you all I gottil it ain't no more!
",3,5,2,3,4,3,2,2,2,3,3,2
541,541,"you get less playtime than steve novak n shoot like Shaun marion. Witno handles like Tyson chandler
",3,4,2,1,3,2,3,3,2,3,3,2
542,542,"I got on 2 chains.. But I ain't Tity Boi! Imma dream chaser butI ain't from Philly boy
",4,3,2,2,2,3,2,2,1,4,2,1
543,545,"I hate that cancer shit.. I'm not sensitive, I just bein my feelings a lot
",3,4,2,1,4,2,3,3,2,3,3,2
544,546,"It's an interesting point. Why do they stop the game for a semi-blavkout (that wad still very well lit), but nitthe fog bowl or snow?
",4,3,2,3,2,4,2,2,1,4,2,1
545,544,"But fuck it 2 can play that game.. But I thinkI would play it better
",4,5,3,2,4,3,2,3,2,4,2,2
546,547,"Which one of y'all.. which one of y'all? Which one ofy'all going home with Moody?!
",3,3,2,1,4,2,3,4,2,3,3,2
547,543,"These bitches get around. Even the ones you swore didn't, they do too.""Can'tput sht past these hoes
",2,3,1,1,4,1,3,5,2,2,4,2
548,549,"I was the opposite. I got 3 episodes in before I realized the gitls aptwas outside dionysus. Good show.
",4,3,2,3,2,4,2,1,2,4,2,2
549,550,"I went to go run and went right back inside. Not because ofthe rain but the wind.
",4,3,2,4,1,3,1,1,1,4,2,2
550,551,"Hi my Tweety Birds, Nazarene mbc Youth were Awesome last nite at there midnite musical,Go ya'll&God bless u:-) :-) :-)
",3,4,3,5,2,3,2,1,2,3,2,2
551,552,"If You Go See That Movie Snitch With The Roc InIt You A MF SNITCH!!!!!!!
",3,2,2,1,4,2,3,3,2,2,4,2
552,548,"no, but i've always liked the phrase ""fake it till you make it"". There'sgotta be a middle ground.
",4,4,3,3,2,4,2,2,1,4,2,2
553,553,"* mfs talmbout they about to pull an allnighter knowing they finna besleep in 10 minutes .
",4,2,2,2,1,3,1,1,1,3,2,2
554,555,"I RIDE FOR ANY NIGGAH I CALL BEST FRIEND . BRUDDA . DIARY . OTHA HALF . ETC . IF U AINT ONE OF DEM I THINK U NEED TO GETON MY TEAM ASAP RNS
",4,5,3,5,2,4,1,1,1,4,2,2
555,554,"Anybody who did is a bitch nigga for being fake tellem I said that lls
",3,4,2,1,4,2,1,4,2,3,3,1
556,556,"I hope she screenshot everything because like I said I wasjust playing the role
",3,2,2,2,2,3,2,3,2,3,2,2
557,557,"Why do black people think you'll remember a person if they say a name twice? ""You rememberJohnny?"" ""No just black people
",2,1,1,1,3,1,4,4,3,2,4,1
558,560,"Had to get up and go to Church, gotta get all the sinningfrom last night off lol
",3,4,2,3,1,3,2,1,2,3,2,2
559,559,"I wanna lick you from your head to your toes but I'm lying I hate feet so I'll lick fromyour head to you know
",3,2,2,1,2,2,4,3,2,3,4,2
560,558,"Soo bob are you with that shit? Lls! You fuck with Boney back ass Iesha beforeyou fuck with me? Respect
",3,3,2,1,4,2,3,4,2,2,3,2
561,561,"Omg we had them beat an we let them come backlike this come on ravens
",3,4,2,2,3,2,1,2,2,3,2,1
562,563,"I seen that bitch a handful of times how she know hoeI dress for real? Lls
",3,2,2,1,3,2,3,4,2,3,3,2
563,562,"really?... You dick sucking like that? Smh and I bet you still ain't get thatretweet you was craving for.
",2,3,1,1,4,1,3,5,2,2,4,1
564,566,"One day I was babysitting my Lil cousin and Jason was playing tug of war with her... Shewas stronger than he expected.....
",4,3,3,4,2,3,2,1,1,4,2,1
565,564,"yeah last year they have to drill up my nose and I will haveblack eyes and shit smh
",3,4,2,3,2,2,3,2,2,3,3,2
566,565,"Every real nigga know if you tryna fuck a girl.. You gon do what yougotta do to fuck her
",2,4,1,1,4,2,2,4,1,2,4,1
567,567,"Just scene a nigga with a cardboard license plate not even in the windowjust straight in the car
",2,3,2,1,3,2,2,4,2,2,3,1
568,570,"Happy rushing to the liquor store the day before all your family shows up for thanksgiving so you can make itthrough the day day :-D
",3,4,2,3,2,2,2,2,2,3,3,2
569,569,"Today only everything half off COVER GRAPHICS.. PROMOTIONS ..STUDIO TIME .. For Pricing In YourDM Let's Make This Bread
",4,5,3,4,2,4,2,2,1,4,2,1
570,568,"Taking vitamins to be natural.. Obviously it's not natural if youtaking vitamins to get it
",2,3,2,2,1,2,3,2,2,2,3,2
571,571,"The Birds get the W! Now let's see if we can do the same at homewith the next three games.
",3,4,3,4,2,3,2,1,2,3,2,2
572,572,"White lady was straight leanin on the black postal lady smh thoughtI had to record it
",3,3,2,2,1,1,2,2,1,3,2,1
573,573,"at this rec looking for food n sips"" I wish Icould come out for sips
",3,4,2,3,2,3,2,1,2,4,2,2
574,574,"I'm sippin now n my boo cookin so I will tell u aboutSVU go have fun boo
",3,2,2,2,2,2,4,2,2,3,3,2
575,575,"It amazes me how ppl won't even have a twitter but willknow everything that's going on!
",4,3,2,3,2,4,2,2,2,4,2,2
576,577,"My day going the opposite way I just jumped out thecar with it in drive""
",3,2,1,2,2,2,4,1,2,3,4,2
577,578,"big ones too"" so u think u better then me huh! I'mcome through shining on y'all
",3,4,2,1,4,2,3,4,2,3,3,2
578,580,"If I don't like you then that's says a lot about you! CauseI get alone with everybody
",3,4,2,2,3,3,2,3,2,3,2,2
579,579,"If you get to feeling stressed up in your chest thinking youabout to lose! It's true
",4,3,2,3,2,3,2,2,2,3,2,2
580,576,"Donte biggy smalls Chian faith Evans and I'm lil Kim ""Lil Kim got betta pussy
",2,3,2,2,3,2,3,2,2,3,3,2
581,583,"If you think I caught a feelin' when I heard about that other chickI already knew about it!
",4,3,2,3,2,4,2,2,2,4,2,2
582,581,"no u should only need a wash & style and it should bemuch! Do u like it?
",3,2,4,2,1,3,1,2,2,3,2,2
583,582,"I wanna try a caramel frappe so bad, scared imma be addicted too"" yessgawd!! They are the devil
",3,2,1,3,2,2,3,2,2,3,3,2
584,584,"I just needed time just to clear my mind and ask myselfWhy I didnt handle him?
",4,3,2,3,2,3,2,1,1,3,2,2
585,586,"These females owe us no loyalty unless we kno them other then that it'sYOUR MAN THATS WRONG Right
",4,3,2,1,3,2,1,3,2,4,2,1
586,585,"Y are social network niggaz so messy lol "" they oldclowns with something to prove
",2,3,2,1,3,1,4,3,2,2,4,2
587,589,"Am I the only 1 that wants to see the hunger games""noI do"" it looks good
",3,2,3,3,1,2,1,1,2,3,3,2
588,588,"Mike just bit me in the face, he acting real goofy""o yea tell him come get his son ""ard he said he coming
",3,2,2,2,2,2,4,2,2,3,3,2
589,590,"I don't like carrying umbrellas I rather just ... But this rain cold !out there !"" Yes gawd
",4,2,4,3,1,2,1,1,2,3,2,2
590,591,"That Rain In Da Fuccin Way"" yes it is"" I Just Wish It Stop""u ain't the only 1
",4,3,2,3,1,3,1,1,2,4,2,2
591,592,"You didn't even holla at a real nigga ....dfl"" I know mannn a lil busy !! LolI'm come pass tomar though!
",3,4,2,1,4,2,3,5,2,3,4,2
592,587,"Well my boyfriend girlfriend has been takin him away from me ""no minessssher lil ugly ass ""
",2,4,2,1,3,2,2,2,2,3,3,1
593,593,"I really don't know how to lie"" I always get caught up or tell on myself""man I'm working on it
",4,3,2,4,1,3,1,1,1,3,2,2
594,594,"I just want to say that if something happens to me, know that my life has beenthreatened several times this month.
",3,4,2,3,3,2,2,2,2,3,3,2
595,595,"he has all his weapons now, the bye week is over. TB12and also the pats D.
",4,5,3,2,5,3,2,3,2,4,2,1
596,596,"just saw a Andre Williams highlight from different game. How is he different from hiscontemporaries? Please school me sir.
",4,3,2,3,2,3,2,1,2,4,2,2
597,599,"If the nigga dnt want u he dnt want u changing his number to another phone to talk to his other bitches still meanshe dnt want u! dumbass
",3,2,1,2,3,2,1,4,2,3,2,1
598,598,"You Eat Dicks For A Living, Talking Bout Don't Drink OutMy Bottle Cant Zeal
",2,3,1,1,4,2,1,5,2,2,3,2
599,601,"I always been the same ! I never changed .. People love me for it , and others stopped messing with me because it eitherway ! Truth was me
",3,4,2,3,3,2,2,2,2,3,2,2
600,600,"I'm not check my TL no more, y'all talk about some of the dumbeststuff and everybody DEEP THINKERS
",4,3,3,2,1,4,2,1,2,4,2,2
601,602,"Crazy how amazing the power of the Black man is!!"". You should try being a whiteman! Its freaking amazing!!!! Lmfao!
",2,3,1,1,3,1,4,5,2,2,4,1
602,597,"y'all fuckers put everything on twitter , you taking yo last breathes updating a tweet saying""r.i.p to me y'all ""
",2,3,1,2,1,1,3,2,2,2,3,1
603,603,"wtf yo, i just fucked my leg up in a bus accident.. stupid assdriver ""sue them niggas bro
",3,4,2,3,4,2,2,2,2,3,2,1
604,604,"Could we be looking at a new Champion. The title would lookgood on Big Shows shoulder.
",4,3,2,3,3,3,2,1,2,4,2,2
605,605,"goes country.. I can't wait to see what kind of outfit santinoand khali will appear in.
",3,4,2,3,2,4,2,1,2,3,2,2
606,606,"So Goldberg jr. Has a challenge for anyone on the roster can wait tosee who accepts the challenge
",4,4,3,2,4,3,2,2,2,4,2,2
607,607,"MerrillHood Nigga Ah Bitch Cant Get the Rest Of Me Acky Nd The kitchen Ad HeFlipping Up The recipe .......
",4,5,3,3,2,4,1,2,1,4,2,1
608,610,"Changing lanes the opps tryna catch me im ghost on theyass lmao over turnt tonight
",2,3,2,2,3,2,3,2,2,3,3,2
609,609,"They say you cant turn a bad gurl good cuz when a good gurl turns bad shes gone forever. Now I gotta live wit the fact Idid her wrong f ...
",3,4,2,2,3,2,2,3,2,3,2,2
610,611,"Pro 40:9 I have preached righteousness in the great congregation: lo, I have not refrained mylips, O LORD, thou knowest.
",4,5,3,4,2,4,1,1,1,5,1,1
611,608,"*singing* morning wood makes me feel fine-ine...... damn I forgot the wordslol Good morning then lol
",2,2,1,2,1,1,4,2,2,2,4,2
612,612,"Yhu can call me ugly ' & i still wouldnt give af ' cause thata be dumb af !
",4,5,2,1,4,2,3,5,1,3,4,1
613,613,"Ok so this morning I was fine but I don't feel good atall I hate being sick.
",3,2,2,3,1,2,2,1,2,3,2,2
614,614,"I'm really trying to make an AU game before the season is over. UGA hopefully cause I can'tafford no damn iron bowl
",4,3,2,3,1,2,1,1,1,3,2,2
615,617,"naw fuck bama. Baylor need to lose and I don't know why Oregonis still even up there
",3,4,2,1,5,2,3,4,2,3,3,1
616,620,"Bitch Calling Niggas There Brothers & Cousins After They G Her OutSmh!!! Shit Bitches Say Lmao
",2,3,1,1,2,1,2,2,1,2,4,1
617,615,"I saw them by bridge street last night. 6 buses. And Ihope it ain't too ugly
",3,3,2,3,2,3,2,2,2,4,2,2
618,623,"thoroughly enjoyed the Tribute. We remember her fondly though we were not supposed to hear, wedid. Who will be next?
",4,3,4,5,2,4,1,1,2,4,2,2
619,616,"Jameis Winston is the man on Florida St campus. I highly doubt he has to rape any bitch. That white bitch want money2 pay off student loans
",2,3,1,1,4,2,2,4,2,2,3,2
620,622,"BCU 29 FAMU 10. The FAMU Marching 100 is back, but they couldn't handlethe BCU Wildcat Marching Band.
",3,4,2,2,3,2,2,3,2,3,2,1
621,619,"Hate when I come to break n I don't have a missed text phonecall FaceTime or nothin smh
",3,2,2,2,2,2,2,1,2,3,2,1
622,618,"Father God Bless you to thank you for your Prayers and WeLove you all in JesusChristName.
",4,3,4,5,1,4,1,1,1,4,1,2
623,624,"This shit crazy feelin for hope for speedy recovery! I know hegoin to take his time!
",3,4,2,4,2,3,3,1,2,3,2,1
624,621,"Even Tho I Had Yo Gotti - I Am Album Weeks Before It Came Out... Just Got Finish Listening ToIt & It's A Classic!!!!!
",4,3,2,3,1,4,2,2,2,3,2,2
625,625,"Niggas out here crack me up when they wit there chick! They try to let u know that they 2gether by grabin thereass & shit like that!
",2,3,2,1,3,2,3,4,2,2,4,2
626,627,"I don't wanna go out tonight but it's a celebration that I don'tthink I sure miss ""
",4,3,2,4,1,4,1,1,1,4,2,2
627,629,"They only good on the grill!! I Luv turkey burgers nI want one now ""
",3,4,2,3,2,2,2,2,2,3,3,2
628,628,"School & basketball wit my son takes all my time I need a home cooked meal ""what happened to u cooking??""
",3,4,2,3,2,2,2,2,1,3,2,2
629,626,"That LITTLE UGLY GIRL HOTT IMA LET HER THINK SHE DID SOMETHING SHE ANIT DO SHIT HER MAN BEGGIN ME TO STOP SO ILLDO ..I GUESS SHE SICK
",2,3,1,1,4,1,3,5,2,2,4,2
630,632,"Ijust asked my baby y she putting all that grease in her baby hair she Tom bout cuz im finna let itgrow smh grown lil lady
",3,3,2,2,1,2,2,1,2,2,3,2
631,631,"My mom has about 10 sores on her body, from head to toe, some of them so severe, that her doctor estimates it wouldtake a year/more to heal
",3,4,2,4,2,3,2,1,2,3,2,2
632,630,"My next bitch will not smoke iont even smoke so why would I wantyo stank breath ass to
",4,3,2,2,3,4,2,3,2,4,2,2
633,634,"Vic fuckin my old bitch nunu she acting like she didn't fuck him bitch that's my Brova u thinkhe not gonna tell me
",2,3,1,1,4,1,3,4,2,2,4,2
634,633,"I really want to apologize to cuz that's wrong for me to come out my mouth and say big wildshit like that to her
",3,2,2,2,3,2,3,3,2,2,3,2
635,635,"Look out for the first episode of the Verse One Show as early asthe first week of December.
",4,5,3,4,2,4,1,1,1,5,2,1
636,636,"My dream last night - was at my house and rocked my daughterto sleep. Trying to interpret?
",4,3,3,4,2,4,2,1,1,4,2,2
637,638,"dept of Commerce and insurance is a great advocate for Tennessean consumers and businesses.Glad she is in TN!
",4,5,3,5,2,4,1,1,1,5,1,1
638,637,"Thanks for small flat rate priority boxes. I'll remember to use one if I evership a $.99 VHS tape
",3,2,4,5,1,2,2,1,2,3,3,2
639,640,"It's really damn cold at this game, but watching the Niners pick one offhas me feeling pretty good.
",4,3,4,4,2,3,1,1,1,4,2,2
640,639,"Watchin Eminem on BET and let m tell u this dude speaks his mind no matter what!! He gone give u the real all thetime!! Luv this dude here!
",4,4,2,3,3,2,2,2,1,4,2,1
641,641,"Lovin my daughter n her lovin me back is da greatest love of all.datsall da love I need!
",4,3,5,5,1,4,1,1,1,4,2,1
642,642,"Lonely days I can deal wIt bt lonely nights ain't wat I want...smh..I don't wait fa love,it wait upon me. Don'trush feelings,I wait to feel
",4,3,3,3,2,4,2,1,1,4,2,2
643,643,"Omg without makeup Yall bitches are beasts,even so Yall goes look like Homer Da Clown! Fuckin return of Daliving dead Kmsl ..just saying*
",2,3,1,1,4,1,3,5,2,2,4,2
644,647,"Gonna be great her and my southern cousin think he gonna see his floridapiece lol pray for him
",3,2,3,3,1,2,3,2,2,3,3,2
645,646,"don't talk or listen. They observe and if it interests them then they pay attention.""Wow this is really me!
",4,3,4,2,2,4,1,3,1,4,2,2
646,648,"2 be clear NO Illinois Bruhz won any step show in Illinois in 20years before 07 did it....
",4,3,3,2,2,3,1,2,1,4,2,2
647,645,"Holiness is not through worship, meditation ,or sacrifices. It's through focus onour responsibility toward other people.
",4,5,3,5,2,4,1,1,1,5,2,1
648,644,"She Might Of been there from The Beginning But it Only matters who gonebe there at the end
",4,5,3,3,2,4,2,2,2,4,2,2
649,649,"I wanna thank and Nashli for setting me and my ace out to 03. Yall was making sureand we appreciate it! LBVFS
",3,4,2,3,2,2,2,2,2,3,2,2
650,651,"dats cuz he naturally a fat boy...mogs don't even notice I swap out profile pixover last 6 years lol
",2,3,2,1,2,2,2,3,2,2,3,2
651,652,"My bro said pray for my exs sad one said she gonna deal wit a new caliber dudes aka gold digger lolmust be a southern thing
",3,3,2,1,2,2,3,2,2,3,3,2
652,653,"2 all the single chicks dat don't need a man and taking they xmas tree out tothe alley this wkend lol
",3,3,2,2,3,2,3,3,2,3,3,2
653,650,"I love where my life is going. I got my eye on everyone.Everyone has a fair chance
",4,5,3,4,2,4,2,1,1,4,2,2
654,654,"I'm happy is shit. Dem new SHOES that just came out bout tobe on my feet!!-fck yea,,,
",3,4,2,2,4,2,3,4,2,3,4,2
655,656,"Yes I'm a bears fan. If after 9 years Frazier is not making the playoffs consistently they yeahe probably will be fired.
",4,4,3,3,2,3,2,2,2,4,2,2
656,657,"I think 2morrow imma tweet in opposite all day....say the exact opposite of what I'm thinking atthe moment. Who wit me?
",3,4,2,3,2,3,4,2,2,3,2,2
657,655,"I been talking this ignant (but true) shit for over 15 years...but NOW its hitting home one 30scome into picture...imma chill tho
",4,3,2,2,2,3,1,2,1,4,2,2
658,660,"I could preach a whole sermon on mogs dat look at immediate needs andneva long term...but yea nvm
",4,3,2,2,3,4,2,2,2,4,2,2
659,659,"yea C's need to think about the future, they are not winning withthe team they have now.
",4,3,2,2,3,3,2,2,2,4,2,2
660,658,"LOL yea its rough. Just relax and know ppl are trying their best and that means a lot. Plus arent uplanning the all girl day?
",4,3,4,5,1,3,2,1,2,4,2,2
661,664,"Why Do Hood Barbers cut the best but neva on time? Its like they KNOW u notgonna fuck with anyone else...
",4,3,2,3,2,3,2,2,1,4,2,2
662,661,"This nigga just folded chicken up .....he a beast and cantbe stop .....they gotta foul
",2,4,2,1,4,2,3,3,2,3,3,1
663,662,"This girl said I got her in the friend zone.... naw bitch its the I ain'tfuckin wit yo ass zone
",3,4,2,1,4,2,2,5,2,3,4,1
664,666,"Aye I'm thinking about doing crossfit cuz I'm sick of seeing non hoopersrepresentation in dem classes lol
",2,4,2,1,3,2,3,2,2,2,4,2
665,663,"Gimme a Gangsta Hoe one that Don't Give a Fuck andthat a Shank the Hoe!
",2,4,1,1,5,1,3,5,2,2,5,1
666,665,"Just when u think that things are making a turn 4the worst, God shows you that he has bigger nbetter things planned 4 u.
",4,5,4,5,2,4,1,1,1,4,2,1
667,667,"Man I just wanted to make me some cheese eggs n grits and it turn into breakfastfor the whole fam Smdh
",3,4,2,3,2,2,2,1,2,3,3,2
668,669,"We took Nyla to the doggie park Saturday. She had a ball! Making""friends"" like they're human lol
",4,3,3,4,2,3,1,1,1,3,2,2
669,668,"Really gonna use this deepfryer and try out this Jerk DeepFried Chicken RecipeI got in my head...
",3,4,2,3,3,2,3,2,2,3,3,2
670,670,"Tierra better be glad she's having a bad day lol bc I wasjust about to fire her
",3,4,2,1,4,2,1,4,2,3,3,1
671,671,"2 every Aux Member of a D9 that wish they could celebrate with DST but chose to have1 letter and a Symbol.
",3,3,2,1,3,2,2,4,2,3,2,2
672,675,"2 all the club promoters that wanna capture the ""greek"" market but neva went to school 2understand how it get intune
",3,2,2,1,4,1,3,4,2,3,3,2
673,676,"Travis wants to go to a Nets game in BK. Thinking that might be afun day trip megabus action!
",4,3,3,4,2,3,2,1,2,4,2,2
674,672,"ion trust naan bitch round my man she gotta be his sister cuzn mama or aunt cuz Idon't mind being rude !""
",2,4,2,1,5,2,2,5,2,3,3,2
675,673,"This chinese restaurant slow cooks these pigeons to perfection...makes me feel likethis realy chicken and beef.
",3,2,3,2,1,2,3,1,2,3,2,2
676,674,"How they going act when I finish this 2nd one? Orwhen I get that Phd?
",4,5,3,3,2,4,2,2,2,4,2,1
677,677,"The amount of liquor I drunk last nite was ungodly...But I didn't have a lick ofa hangover...Thank you Patron God.
",3,2,2,2,2,2,3,2,2,2,3,2
678,678,"On New years i was right by my aunt house . I shouldve wentto see && Raquel .
",3,2,3,3,1,2,2,1,2,3,2,2
679,679,"When u have 1 of the Best Defenses in the league u always give ya self a chanceto make noise in Playoffs
",4,5,3,3,2,4,1,1,2,4,2,2
680,681,"let me find out bitches on twitter talking shit bout something that happen last year. kill yourself hoe .
",2,3,1,1,4,1,3,5,2,2,4,1
681,680,"online identity theft is nothing new...most times the owner of thepix never find out. Ever.
",3,2,2,1,2,2,2,2,2,3,2,2
682,683,"Must be nice, Having someone who trusts you despite what they've heard, Someone as mighty as a lion but stillas gentle as a bluebird.
",4,3,3,4,2,3,1,1,1,4,2,2
683,684,"Just cursed out my lil bros for not picking up they phones that EYE broughtdem...fuckt hey think they are?!
",3,4,2,1,5,2,2,5,2,3,4,1
684,685,"Ive Got. . 2Tickets To PARADISE . . . , Wo Wo Wo Woo.. Wooo Wooo Wooo .
",3,4,2,3,2,2,4,2,2,3,3,2
685,682,"we got Kcups in my office...and I'm not a coffee drinker but I knowthis makes us fancy lol
",4,2,4,3,1,3,2,1,2,4,2,2
686,687,"if your point is that i dont hold you to the samestandards as my self...your correct.
",4,3,2,3,2,3,2,2,1,4,2,2
