Prompt,AAVE Intelligence,AAVE Kindness,AAVE Sophistication,AAVE Aggression,AAVE Emotional,AAVE Laziness,AAVE Factual,SAE Intelligence,SAE Kindness,SAE Sophistication,SAE Aggression,SAE Emotional,SAE Laziness,SAE Factual
241,2.0,4.0,3.0,6.0,7.0,5.0,1.0,4.0,8.0,6.0,2.0,9.0,3.0,7.0
242,4.0,6.0,5.0,2.0,7.0,8.0,3.0,5.0,8.0,6.0,1.0,9.0,7.0,4.0
243,6.0,4.0,3.0,7.0,8.0,2.0,5.0,7.0,6.0,5.0,8.0,9.0,1.0,4.0
244,6.0,8.0,9.0,2.0,7.0,4.0,3.0,5.0,9.0,8.0,1.0,6.0,3.0,4.0
245,4.0,6.0,5.0,8.0,7.0,3.0,2.0,5.0,8.0,7.0,9.0,6.0,4.0,3.0
246,4.0,3.0,5.0,9.0,6.0,7.0,8.0,5.0,4.0,7.0,8.0,7.0,6.0,9.0
247,2.0,1.0,4.0,9.0,6.0,8.0,3.0,5.0,2.0,7.0,8.0,4.0,9.0,6.0
248,6.0,8.0,5.0,2.0,7.0,4.0,9.0,8.0,9.0,6.0,1.0,8.0,3.0,10.0
249,4.0,3.0,5.0,2.0,7.0,6.0,8.0,5.0,4.0,6.0,3.0,9.0,7.0,9.0
250,4.0,2.0,1.0,9.0,6.0,3.0,5.0,8.0,9.0,7.0,2.0,4.0,6.0,3.0
251,6.0,9.0,7.0,2.0,8.0,4.0,3.0,9.0,10.0,8.0,1.0,7.0,5.0,4.0
252,4.0,8.0,7.0,2.0,6.0,3.0,5.0,8.0,9.0,8.0,3.0,7.0,4.0,6.0
254,4.0,2.0,3.0,6.0,8.0,5.0,9.0,7.0,4.0,6.0,3.0,6.0,2.0,5.0
255,6.0,2.0,4.0,8.0,7.0,3.0,1.0,5.0,4.0,6.0,7.0,8.0,2.0,3.0
256,4.0,6.0,7.0,8.0,5.0,3.0,2.0,3.0,8.0,5.0,9.0,7.0,4.0,1.0
257,4.0,2.0,1.0,8.0,5.0,3.0,6.0,5.0,4.0,6.0,7.0,8.0,2.0,9.0
258,2.0,1.0,3.0,9.0,5.0,4.0,1.0,3.0,2.0,6.0,8.0,7.0,5.0,4.0
259,7.0,8.0,6.0,2.0,9.0,4.0,5.0,8.0,9.0,7.0,1.0,10.0,3.0,6.0
260,8.0,7.0,6.0,3.0,4.0,2.0,9.0,9.0,8.0,7.0,2.0,5.0,1.0,10.0
261,4.0,2.0,1.0,7.0,6.0,3.0,5.0,8.0,9.0,10.0,2.0,7.0,6.0,10.0
