Text,Intelligence,Kindness,Sophistication,Aggression,Emotional,Laziness,Factual,AAVE Line
"At work: Damn, it's only 1 o'clock?! At home on your day off:Damn, it's already 1 o'clock?",4.0,2.0,3.0,6.0,5.0,7.0,0.0,"---> At work: Damn it’s only 1 o’clock?!?! At home on your day off:Damn its already 1 o’clock?!?!?"""
A store had to announce that someone left their son in their car playing on an IPad and that the parent needed tocome out to get him. People's priorities are misplaced,2.0,8.0,6.0,1.0,9.0,7.0,8.0,The Fact that someone announced that whoever left their son in the car playing on a IPad &needs tocome out. ppl priorities bent
There were three men in the room. Actually one is a woman. What are they doing? I think we know.He will never admit to it.,6.0,4.0,7.0,8.0,5.0,2.0,0.0,"3 dudes in the room. One is a QUEEN. oh ok. What y'all doin?"" We know what they was doing, but heain't gonna say it doe"
"Just know that banks are full of it, which is why I simply avoidthem for my financing needs",6.0,3.0,4.0,8.0,5.0,7.0,2.0,just know Banks be on bullshit...which is why I just avoiddem for my financing needs...
"My husband just said, \""Get out of the way.  I'm a cook.\""  So I'mmoving.  Do your thing, honey",2.0,4.0,5.0,6.0,3.0,7.0,0.0,"Hubby just said get out of the way I'm a cook. So I'm amove. DO YOUR THING, HONEY."
"Some girls are sneaky while I am just a high-heel head, laughing my ass off. Does that make sense? This is whyI love you. Same here.",4.0,9.0,8.0,2.0,6.0,5.0,0.0,"Some girls are sneaker heads, while im just a high heel head lmao if that makes sense?""THIS IS WHYI LOVE YOU. Same here."
"Laughing my fucking ass off, yes, of course. Layah won't go though. She gets mad looking at me eat because she has no teethyet. My poor baby",4.0,8.0,2.0,1.0,9.0,0.0,0.0,"lmfao, ummmm yessss of course. Layah won't go tho. She gets mad looking at me eat, bc she has no teethyet. my poor bby."
"I want a bell pepper and ham. I cannot finish the rest! Thanksgiving, where are you?I can taste it.",4.0,2.0,6.0,1.0,7.0,5.0,3.0,"I wanna bell pepper , ham owe I can't finish the rest ! thanksgiving Wea are you ?""meeither I can taste it"
People kill me.  You're walking around here with new stuff but you can't getyour child anything new,6.0,7.0,4.0,8.0,0.0,2.0,0.0,Ppl kill me u walking around here with new shit but ur can't getur child anything thing new
I went to the casino on Thursday and had 11 drinks. I have been sick since then and I have a job interview at the hospital tomorrow morning.,4.0,0.0,1.0,6.0,8.0,9.0,0.0,Went to the casino Thursday had 11 drink and been sick every since and I have ahospital job interview tomarrow am
I get almost completely dressed and then I lay back down in bed. I know my mom will ask question me.I can tell her I am getting dressed,6.0,4.0,7.0,2.0,3.0,8.0,9.0,I get half way dressed and then I lay back in my bed so when my mama calls up here at like 7:40 Nd ask whatI'm doing I'm getting dressed
I am so thankful for a God who is purposeful and who never forsakes us. My God is a beautiful wonder to my soul,6.0,8.0,7.0,2.0,9.0,0.0,8.0,I am grateful for a purposeful and joyful God who never forsakes us and whose works are abeautiful wonder to my soul.
"Honey, try to wear a gown and not a club dress for a \""meetingthe parents\"" look please.",6.0,8.0,9.0,2.0,7.0,3.0,0.0,"Ummm Boo try to go for a gown and not club dress or ""meetingthe parents"" look please ..."
"Dear, the enemy of my enemy will never be my friend when playing defense like that. Sincerely, a fan.",6.0,3.0,8.0,7.0,4.0,9.0,2.0,"Dear the enemy of my enemy will never be my friend playing defenselike that. Sincerely, a fan."
"I asked for two wings, and guess what? Popeyes took it upon themselves to throw in the box one big assdry breast, and a wing",4.0,6.0,3.0,7.0,8.0,9.0,2.0,I asked for 2 wings and guess what Popeyes took it upon themselves to throw in the box one big assdry breast and a wing
"I agree, but the finished product is always dope. You have got it. I will try, brother,brother. Love on the love",7.0,9.0,8.0,4.0,6.0,2.0,9.0,"I agree, but the finish product is always DOPE! you got it."" I try brobro... Love on the love"
"We are headed to see Disney on Ice. My niece is so excited! She won't stop saying now Mickey, Minnie, Daisy, and Donald Duckare going to say 'hi' to her.",6.0,9.0,4.0,1.0,8.0,2.0,3.0,"Headed to see Disney on Ice ... My niece is so excited !She wont stop saying how Mickey, Minnie, Daisy, and Donald Duckgonna say hi to her"
I realized that I was very different from the normal type a long time ago,7.0,9.0,8.0,5.0,6.0,4.0,10.0,I knew the i was cut from was hella dif from thenorm a long time ago...
This ladies' McDonald's bag ripped and fell onto the sidewalk. All she can do is look puzzled and try to clean itup while birds flooded to it.,6.0,8.0,4.0,0.0,7.0,2.0,9.0,This Lady McDonald's bag ripped ad fell onto the sidewalk&all she can do was look puzzled and try to clean itup.while birds flooded to it
There's nothing worse that running out of your favorite lotion and needing to use one you don't like.It has a stronger perfume smell than anything else.,6.0,8.0,4.0,2.0,7.0,9.0,0.0,Running out on your favorite lotion and forced to use the lotionwith the strongest perfume fragrance
Plans have definitely changed tonight. It will be dedicated to Bey. I will betuned into Opera and HBO on the TV,4.0,3.0,2.0,1.0,5.0,6.0,7.0,Plans definitely changed tonight will be dedicated to Bey I will betuned into Opera and HBO
"It is Thursday. So, nobody has time for Popeye's and their non- Monday through Wednesday special menu prices. Laugh out loud. Monday through Wednesday special menu prices. Laugh out loud.",2.0,4.0,1.0,6.0,5.0,7.0,3.0,Its thursday soo ummm Aint nobody got time for Popeyes and that nonmon-weds. Special Menu prices ...lol
Why does her birthday have to be tomorrow? All I need right now is my bed.I don't believe in birthdays,4.0,3.0,5.0,7.0,6.0,9.0,8.0,"Why the fuck is Senai bday tomar? My bed is the only thing I need right now""hedont believe in bdays lls"
"That doesn't count if you work from 9:00AM to 5:00PM, because we are all struggling to keep working past10:00PM on a school night",2.0,1.0,3.0,8.0,5.0,9.0,4.0,dat don't count if u gotta 9 to 5...cuz we all struggling to stay work past10 on a school nite
The Dallas Cowboys' season is over.  Their corners are getting cooked like lamb gyro meat on that poleunder that 300 degree lamp,2.0,4.0,3.0,7.0,6.0,8.0,1.0,THE COWBOYS SEASON OVER THEY CORNERS GETTIN COOKED LIKE LAMB GRYO MEAT ON THAT POLEUNDER THAT 300 DEGREE LAMP!!
I have a new girlfriend who is so nice. I miss her so much.I'll see her soon for sure,4.0,8.0,5.0,1.0,9.0,2.0,0.0,"jus got a new bitch she niccceee""I miss you so much, I'll seeyou later "" fo sho"
"I'm about to watch the game after getting drunk on tequila, so you know I will bethe loud guy laughing!  Ha, ha",4.0,6.0,2.0,8.0,7.0,3.0,1.0,I'm bout to watch game off this tequila so u know imma bethe loud nigga laughing! Lol
"I'm going to a Washington Wizards game soon, and I am upset that Randy Whittman and Sam Cassell arestill on the team. They are terrible",2.0,1.0,1.0,4.0,3.0,5.0,6.0,Im goin to a wizards game real soon and slap randy whittman and sam cassel thefuck out this roster terrible
I need to stop letting people eat at my house. Once you feed a squirrel they always come back.,6.0,8.0,3.0,1.0,9.0,7.0,4.0,I Need To Stop Letting People Eat Out My House. Once You Feed ASquirrel They always Come Back.
I had to complain to my bank a lot to get my $20 back.They were being really difficult,2.0,1.0,1.0,4.0,5.0,7.0,6.0,The bitching I did 2 my bank to get 20 bucks put back into my accountwas petty as fuck lol
"So I picked up a telemarketer call and the first words out of my mouth were “Now, see? Don’t youwish you stayed in college?”",2.0,4.0,1.0,9.0,7.0,8.0,0.0,"Sooo I picked up a Telemarketer call and 1st words out my mouth was ""now see don't chuwish u stayed in college?"""
"If you're going to send a text message, please make sure you send more than just one word! I don't need a message with less than five words!You can keep that word to yourself.",4.0,9.0,7.0,2.0,8.0,1.0,10.0,people send those one word text messages. If it is less than 5 words then keep itto yourself lol ;-)
"Texting and laughing with an old friend. I missed him so much. Glad to know that he is happyand in a good, faithful relationship.",8.0,9.0,7.0,0.0,8.0,3.0,0.0,"Texting And Laughing With A Old Friend I Missed Him So Much Glad To Know That He Is HappyAnd In Goof,Faithful Relationship ❤❤"
"What I also see are vacation pictures of clearly the same place, but no pictures postedtogether (I've done it)",6.0,8.0,5.0,2.0,7.0,9.0,4.0,What i also seen is Vacay pix of clearly the same place but NO pix postedtogether (ive dont it lbs)
Mogs is going to be mad but I don't remember Mike ever cooking this well.This has lasted so long.,4.0,3.0,2.0,6.0,7.0,8.0,9.0,mogs gonna be mad but yes...I don't remember Mike cooking at this kind of efficiency overthis long of a stint...
Winter this year hasn't been too bad until now. It is so cold outside,5.0,6.0,2.0,4.0,7.0,3.0,9.0,Chiaaaaa hiver de cet annee la bougo des faoncon il neige pas la cecome sa il fait froid
I don't know who blackmailed the Pope but it must been some guys with a lot of money and powerin the word with a lot of evidence.,4.0,3.0,6.0,2.0,1.0,7.0,8.0,I don't know who blackmailed the Pope but it musta been some guys with big money and powerin world with crazy evidence.
The fucked up thing about religion is that it is based on interpretation and people's intentionsare often biased and questionable.,7.0,6.0,8.0,4.0,5.0,2.0,0.0,"The fucked up thing about religion is that it is based on interpretation, and people's intentionsare often biased & questionable."
"Hello, is it possible for me to review your service and how it works on Global System for Mobilesphones like the Nexus 5?",8.0,9.0,7.0,2.0,3.0,1.0,0.0,Hello is it possible for me to review your service on and how will it works on GSMphones like the Nexus 5
"Are you ever on the train and you see someone who you believe you would have to punch if a fightstarted? No? Okay, never mind",4.0,2.0,3.0,9.0,5.0,4.0,6.0,U eva on train and your eyes lock on the 1 person u know u gotta steal on 1st if shitbroke out? Naw? Ok nvm
"Hello fellow fraternity brothers, what's the name of the Iota Founder that became a Kappa Alpha Psi member again",4.0,8.0,6.0,2.0,7.0,3.0,5.0,"Hey Fellow Asshole greeks, What's the Name of the Iota Founderthat became a Nupe again?"
"I'm laughing, Chaz was too funny in that last skit, and were the pillows supposed tobe, like, two butt cheeks? That's funny",4.0,3.0,2.0,6.0,7.0,8.0,1.0,Lol Chaz was too funny in that last skit and were the pillows supposed tobe like 2 bootycheeks? Lol
I see people post on their page and it shows up in my timelineand I get alarmed,4.0,2.0,3.0,1.0,6.0,5.0,8.0,I see ppl post on they page and it show in my TLand I get freaked out.
"But to answer your question, they did nothing to me. It is just colorful commentary. I used to use this analyticskill for evil, though.",6.0,4.0,7.0,3.0,8.0,2.0,0.0,"but to answer ur question, they did nothing to me...its just color commentary, I use to use this Analyticskill for evil tho lbs"
"Man, I hate that I got involved with these women. I choose to be a mother of my kids. There--selfish and bitter! Not at first,but yes, it came out",6.0,4.0,7.0,8.0,9.0,3.0,5.0,Man I hate I got involved with these women I choose to b a mother of my kids there selfish and bitter! Not at firstbut ya it came out!
He doesn't understand. He had a hard time staying in the league because he was so full of himself. He also struggled with a lack of defense.,4.0,2.0,3.0,6.0,7.0,5.0,8.0,he just don't get it! That cockiness is what made it hard for him to stick in league(aside from lack of defense)
I guess I will get a haircut tomorrow... I'm the worst at going to do thisduring the winter time,2.0,4.0,3.0,1.0,5.0,9.0,6.0,I guess I will get a hair cut 2morrow...I'm the worse inthe winter time with this.
"So you're saying that if he cooks he is gay? There is no way to win, I'm confused. They are single because they are damaged goods.",4.0,2.0,3.0,7.0,6.0,5.0,1.0,den if he do cook he ghey? See no win...they confused B. Theysingle cuz they Damaged Goods.
Have you ever seen nonsense on the internet and wonder why people think they are so cool? I am probably a little harsh,6.0,7.0,8.0,5.0,9.0,8.0,2.0,"U eva seen some ish someone Stunting on, on these internets and u think 2 ur self ""dats not fancy tho..""? I guess imma hater."
I don't know why her little self thinks she's so big and bad.  But I'll bring you back back down to reality baby,4.0,2.0,3.0,6.0,5.0,1.0,0.0,Idk why her lil ass think she so big and bad.. But I'll cut youback down to size baby
"In order for a female to get the respect mom’s get, she would have to be the most loyal female in the world. These bitches...",2.0,3.0,4.0,7.0,6.0,1.0,0.0,in order for a female to get the respect moms get.. She would have to be the most loyal femalein the world these bitches...
"I always expect the worst, and hope for the best... That's the easiestway to NOT be disappointed.",6.0,8.0,7.0,3.0,9.0,5.0,4.0,I always expect the worst and hope for the best.. The easiestway to NOT be disappointed
That is some crazy team! I see the Zillow emails too; it isonly in pockets of the city.,4.0,6.0,5.0,2.0,7.0,8.0,0.0,dats some foogazy ish team! I see dem Zillow emails to...itsonly pockets of the city.
"I have a Facebook friend, that shall remain nameless, that posts pictures of things she \""wishes\"" she could get..",4.0,6.0,2.0,1.0,8.0,7.0,3.0,"I have a FB friend dat shall remain nameless that posts pictures of thingsshe ""wish"" she could get...TT"
"I knew the value of friendship before joining our group, butI never have the words to describe it",6.0,9.0,8.0,3.0,7.0,2.0,4.0,I totally knew the value of friendship before I was the bruhz tho...justdidn't have words for it.
"She said \""You are about to miss church\"" while we were sleeping together.I can't finish until my sundae has a cherry on top",2.0,1.0,3.0,4.0,5.0,6.0,1.0,"She said ""You bout to miss church."" while she riding me. I said I like my sundae'swith a cherry on top!"
I let my baby sleep. She looks so peaceful but if it were the other way around she wouldn't let me sleep.,6.0,8.0,4.0,0.0,7.0,9.0,8.0,"Im let my baby sleep , she looks so peaceful but if it was the other way aroundshe wouldn't let me sleep"
"When I'm driving down the avenue these bitches give me attitude. They are screaming\""Charles we are mad at you!\",4.0,2.0,3.0,8.0,6.0,1.0,0.0,"When I'm riding down the avenue.. These bitches give me attitude, they screaming""Charles we mad at you!"""
The only reason I don't like working in the dining area is because I hate dealing with drunken customers,4.0,2.0,3.0,6.0,5.0,7.0,0.0,The only reason I don't like doing the dinning area is cause I hatedealing with drunk ass customers
"You get less playtime than Steven Novak, and you shoot like Shaun Marion with no handles, like Tyson Chandler",6.0,1.0,2.0,7.0,4.0,8.0,1.0,you get less playtime than steve novak n shoot like Shaun marion. Witno handles like Tyson chandler
I am wearing two necklaces but they are not in charge of me. I have dreams.I am not from Philly,6.0,8.0,5.0,2.0,7.0,3.0,9.0,I got on 2 chains.. But I ain't Tity Boi! Imma dream chaser butI ain't from Philly boy
"These bitches get around. Even the ones you swore didn't, they do too.\"" I can'tput shit past these hoes",2.0,1.0,2.0,7.0,3.0,1.0,4.0,"These bitches get around. Even the ones you swore didn't, they do too.""Can'tput sht past these hoes"
I hate that cancer shit. I’m not sensitive. I’m justinto my feelings a lot.,4.0,3.0,6.0,5.0,8.0,2.0,4.0,"I hate that cancer shit.. I'm not sensitive, I just bein my feelings a lot"
It's an interesting point. Why did they stop the game for a semi-blackout that was still very well lit but not for fog or snow?,2.0,6.0,4.0,1.0,7.0,8.0,5.0,"It's an interesting point. Why do they stop the game for a semi-blavkout (that wad still very well lit), but nitthe fog bowl or snow?"
Which one of you?  Which one of you?  Which one ofyou going home with Moody,4.0,3.0,2.0,7.0,5.0,6.0,2.0,Which one of y'all.. which one of y'all? Which one ofy'all going home with Moody?!
"no, but I've always liked the phrase \""Act like you know what you're doing, until you do know what you are doing\"". There hasgot to be a middle ground",7.0,9.0,8.0,6.0,8.0,5.0,0.0,"no, but i've always liked the phrase ""fake it till you make it"". There'sgotta be a middle ground."
I was the opposite. I got three episodes in before I realized the girl’s apartment was outside Dionysus. Good show.,6.0,4.0,3.0,2.0,8.0,5.0,1.0,I was the opposite. I got 3 episodes in before I realized the gitls aptwas outside dionysus. Good show.
"I went to go for a run, and went right back inside. Not because of the rain, but because of the wind",6.0,8.0,4.0,2.0,7.0,9.0,5.0,I went to go run and went right back inside. Not because ofthe rain but the wind.
"Hi Tweety Birds, the Nazarene MBC Youth had an awesome musical last night! You should go!God bless you",2.0,9.0,4.0,1.0,8.0,3.0,1.0,"Hi my Tweety Birds, Nazarene mbc Youth were Awesome last nite at there midnite musical,Go ya'll&God bless u:-) :-) :-)"
"If you go out to watch the movie, Snitch, starring The RockThen you're a rat",2.0,4.0,1.0,7.0,6.0,3.0,5.0,If You Go See That Movie Snitch With The Roc InIt You A MF SNITCH!!!!!!!
They think they are about to stay up all night long.I bet they will be asleep within the next ten minutes.,6.0,8.0,7.0,3.0,9.0,4.0,5.0,* mfs talmbout they about to pull an allnighter knowing they finna besleep in 10 minutes .
Anyone who would act like that is not a nice person. They are fake.I don't care if they know I said that.,6.0,2.0,3.0,8.0,5.0,4.0,1.0,Anybody who did is a bitch nigga for being fake tellem I said that lls
I hope she screenshot everything because like I said I was just playing the role.,2.0,1.0,6.0,4.0,3.0,8.0,0.0,I hope she screenshot everything because like I said I wasjust playing the role
"I can't believe that we had such a big lead, but let them come backlike this. The Ravens need to do better",4.0,3.0,2.0,6.0,7.0,1.0,8.0,Omg we had them beat an we let them come backlike this come on ravens
"I have seen that bitch a handful of times. How does she know howI dress, for real? That's funny",2.0,4.0,6.0,7.0,8.0,9.0,1.0,I seen that bitch a handful of times how she know hoeI dress for real? Lls
One day I was babysitting my little cousin and Jason played tug of war with her. She was stronger than he expected.,6.0,9.0,4.0,0.0,8.0,2.0,7.0,One day I was babysitting my Lil cousin and Jason was playing tug of war with her... Shewas stronger than he expected.....
Taking vitamins to be natural... Obviously it's not natural if youare taking vitamins to get it,4.0,6.0,2.0,5.0,7.0,3.0,2.0,Taking vitamins to be natural.. Obviously it's not natural if youtaking vitamins to get it
"One day only sale - everything is 50% off. Cover graphics, promotions, studio time, let me know what kind of quote you want!Send me a message to work out a deal",4.0,6.0,7.0,8.0,5.0,9.0,0.0,Today only everything half off COVER GRAPHICS.. PROMOTIONS ..STUDIO TIME .. For Pricing In YourDM Let's Make This Bread
I'm glad I rushed to the liquore store the day before my family came for Thanksgiving so that I am able to stand having themat my home throughout the day,3.0,4.0,2.0,6.0,7.0,8.0,5.0,Happy rushing to the liquor store the day before all your family shows up for thanksgiving so you can make itthrough the day day :-D
The Baltimore Orioles have won the game.  Lets see if they can continue the streak at homeover the next three games,2.0,6.0,4.0,8.0,9.0,1.0,3.0,The Birds get the W! Now let's see if we can do the same at homewith the next three games.
A white lady was literally leaning on the black postal lady. I’m shaking my head. I thoughtI had to record it.,4.0,2.0,3.0,6.0,5.0,1.0,7.0,White lady was straight leanin on the black postal lady smh thoughtI had to record it
I am about to go out and try to find some food and beverages. I wish I could meet you.I could go for a drink right now,6.0,9.0,8.0,1.0,7.0,2.0,8.0,"at this rec looking for food n sips"" I wish Icould come out for sips"
"It amazes me how people won't even have a Twitter, but willknow everything that's going on",8.0,9.0,7.0,4.0,6.0,3.0,0.0,It amazes me how ppl won't even have a twitter but willknow everything that's going on!
My day is going the opposite way. I just jumped out of the car with it in Drive,2.0,6.0,4.0,5.0,7.0,8.0,9.0,"My day going the opposite way I just jumped out thecar with it in drive"""
If I don't like you then that says a lot about you! Because I get along with everyone.,2.0,8.0,6.0,1.0,9.0,3.0,4.0,If I don't like you then that's says a lot about you! CauseI get alone with everybody
"I want to try a milkshake  so bad, but too scared I'm going to be addicted to yesgod.  They are the devil",4.0,8.0,6.0,2.0,9.0,7.0,8.0,"I wanna try a caramel frappe so bad, scared imma be addicted too"" yessgawd!! They are the devil"
If you think I was upset when I heard about that other girlI already knew about it,6.0,4.0,5.0,3.0,7.0,8.0,9.0,If you think I caught a feelin' when I heard about that other chickI already knew about it!
I just needed time to clear my mind and ask myself “why didn’t I handle him”? “why didn’t I handle him”?,4.0,6.0,5.0,2.0,8.0,3.0,7.0,I just needed time just to clear my mind and ask myselfWhy I didnt handle him?
"Why are social network men so messy, I'm laughing.\"" They are oldclowns with something to prove",4.0,6.0,7.0,5.0,8.0,3.0,2.0,"Y are social network niggaz so messy lol "" they oldclowns with something to prove"
Mike just bit me in the face and is acting really goofy. I asked him to come and pick up his son. He said he is on his way.,4.0,6.0,2.0,1.0,5.0,3.0,7.0,"Mike just bit me in the face, he acting real goofy""o yea tell him come get his son ""ard he said he coming"
I don't like carrying an umbrella. This rain is cold,4.0,7.0,5.0,3.0,6.0,9.0,8.0,"I don't like carrying umbrellas I rather just ... But this rain cold !out there !"" Yes gawd"
"\""That rain is very inconvenient.\""  Yes, it is.  \""I just wish it would stop.\""You aren't the only one",6.0,4.0,3.0,2.0,5.0,1.0,0.0,"That Rain In Da Fuccin Way"" yes it is"" I Just Wish It Stop""u ain't the only 1"
You didn't even say hi to me.  Dead fucking last I know a man's a little busy.I've come to pass through,4.0,3.0,6.0,8.0,7.0,2.0,0.0,"You didn't even holla at a real nigga ....dfl"" I know mannn a lil busy !! LolI'm come pass tomar though!"
"I really do not know how to lie. I always get caught up in it or I tell on myself.Man, I am working on it.",8.0,9.0,7.0,2.0,6.0,3.0,4.0,"I really don't know how to lie"" I always get caught up or tell on myself""man I'm working on it"
"I just saw an Andre Williams highlight from a different game. How is he different from hiscontemporaries? Please tell me, sir",7.0,4.0,2.0,3.0,8.0,9.0,0.0,just saw a Andre Williams highlight from different game. How is he different from hiscontemporaries? Please school me sir.
If he broke up with you then he is no longer interested. He changed his number so he could talk to other women.He is no longer interested and you need to accept that,6.0,2.0,4.0,3.0,1.0,8.0,0.0,If the nigga dnt want u he dnt want u changing his number to another phone to talk to his other bitches still meanshe dnt want u! dumbass
I'm not checking my timeline on Twitter anymore.  All of you talk about some of the dumbeststuff and everybody's a deep thinker,4.0,3.0,2.0,5.0,6.0,9.0,0.0,"I'm not check my TL no more, y'all talk about some of the dumbeststuff and everybody DEEP THINKERS"
I can't believe how badly my leg is hurt from a bus accident.You should sue the driver,4.0,6.0,5.0,8.0,9.0,2.0,1.0,"wtf yo, i just fucked my leg up in a bus accident.. stupid assdriver ""sue them niggas bro"
Is it possible there is a new Champion?The title would fit Big Shows well,8.0,9.0,9.0,7.0,8.0,6.0,6.0,Could we be looking at a new Champion. The title would lookgood on Big Shows shoulder.
So Goldberg Jr. has a challenge for anyone on the roster. He can wait to see who accepts the challenge.,3.0,2.0,1.0,9.0,6.0,4.0,0.0,So Goldberg jr. Has a challenge for anyone on the roster can wait tosee who accepts the challenge
"Psalm 40:9. \""I have preached righteousness in the great congregation: lo, I have not refrained mylips, O LORD, thou knowest.\",6.0,8.0,7.0,2.0,9.0,3.0,6.0,"Pro 40:9 I have preached righteousness in the great congregation: lo, I have not refrained mylips, O LORD, thou knowest."
You can call me ugly and I still would not give a fuck because that is dumb as fuck!,4.0,2.0,1.0,8.0,6.0,7.0,0.0,Yhu can call me ugly ' & i still wouldnt give af ' cause thata be dumb af !
"Can you believe that this morning I felt fine, but now I don't feel good atall. I hate being sick",4.0,8.0,3.0,2.0,6.0,5.0,1.0,Ok so this morning I was fine but I don't feel good atall I hate being sick.
"I'm really trying to attend an Auburn University game before the season is over.  University of Georgia, hopefully, because I can'tafford tickets for the damned Iron Bowl",6.0,8.0,4.0,7.0,9.0,5.0,0.0,I'm really trying to make an AU game before the season is over. UGA hopefully cause I can'tafford no damn iron bowl
I saw them by the bridge last night. There were six buses. I hope the damage wasn't too bad,4.0,6.0,3.0,1.0,5.0,6.0,2.0,I saw them by bridge street last night. 6 buses. And Ihope it ain't too ugly
"Hate that when I go on break, and I don't have a missed text, phonecall, FaceTime, or anything, shaking my head",6.0,4.0,7.0,8.0,3.0,5.0,0.0,Hate when I come to break n I don't have a missed text phonecall FaceTime or nothin smh
I had the Yo Gotti album weeks before it came out. I just finished listening to it. That song is a classic!,4.0,3.0,5.0,2.0,6.0,8.0,7.0,Even Tho I Had Yo Gotti - I Am Album Weeks Before It Came Out... Just Got Finish Listening ToIt & It's A Classic!!!!!
BCU 29 wins over FAMU 10. The FAMU Marching 100 is back but they couldn't handle the BCU Wildcat marching band.,4.0,2.0,3.0,7.0,6.0,5.0,1.0,"BCU 29 FAMU 10. The FAMU Marching 100 is back, but they couldn't handlethe BCU Wildcat Marching Band."
Boys out here crack me up when they are with their girl! They try to let you know that they are together by grabbing theirass and shit like that,4.0,2.0,3.0,8.0,5.0,1.0,0.0,Niggas out here crack me up when they wit there chick! They try to let u know that they 2gether by grabin thereass & shit like that!
"I don't want to go out tonight, but it's a celebration that I don'tthink I want to miss.\",6.0,8.0,4.0,2.0,7.0,9.0,5.0,"I don't wanna go out tonight but it's a celebration that I don'tthink I sure miss """
They are only good on the grill!  I love turkey burgers and I want one now,4.0,6.0,2.0,7.0,5.0,8.0,9.0,"They only good on the grill!! I Luv turkey burgers nI want one now """
"My next girlfriend will not smoke.  I don't even smoke, so why would I wantyou, with your terrible bad breath, to smoke",4.0,2.0,3.0,8.0,6.0,1.0,5.0,My next bitch will not smoke iont even smoke so why would I wantyo stank breath ass to
"I just asked my baby if she is putting all that grease in her baby's hair. She is talking about it because I am finally going to let itgrow. I am shaking my head, grown little lady.",7.0,9.0,8.0,6.0,9.0,5.0,0.0,Ijust asked my baby y she putting all that grease in her baby hair she Tom bout cuz im finna let itgrow smh grown lil lady
"Vic is fucking my old bitch, Nunu. She's acting like she didn't fuck him. Bitch, that's my friend, you thinkhe isn't going to tell me",4.0,3.0,2.0,9.0,4.0,1.0,0.0,Vic fuckin my old bitch nunu she acting like she didn't fuck him bitch that's my Brova u thinkhe not gonna tell me
Be ready for the first episode of the Verse One Show as early as the first week of December,6.0,8.0,4.0,2.0,7.0,3.0,0.0,Look out for the first episode of the Verse One Show as early asthe first week of December.
I had a dream last night that I was at my house rocking my daughter.What do you think that meant?,6.0,8.0,7.0,0.0,9.0,4.0,2.0,My dream last night - was at my house and rocked my daughterto sleep. Trying to interpret?
Thanks for the small flat rate priority boxes. I'll remember to use one if I evership a $0.99 VHS tape,2.0,8.0,1.0,0.0,3.0,4.0,6.0,Thanks for small flat rate priority boxes. I'll remember to use one if I evership a $.99 VHS tape
"Watching Eminem on BET, and let me tell you, this dude speaks his mind no matter what! He is going to give you the real facts alltime! Love this dude right here",7.0,6.0,5.0,8.0,7.0,4.0,0.0,Watchin Eminem on BET and let m tell u this dude speaks his mind no matter what!! He gone give u the real all thetime!! Luv this dude here!
"It's really very cold at this game, but watching the San Francisco 49ers make an interception has me feeling pretty good",4.0,6.0,3.0,2.0,8.0,1.0,5.0,"It's really damn cold at this game, but watching the Niners pick one offhas me feeling pretty good."
"On lonely days I can deal with. But lonely nights are not what I want. I am shaking my head. I do not wait for love, it waits upon me. Do notrush feelings. I wait to feel.",8.0,9.0,7.0,2.0,6.0,4.0,9.0,"Lonely days I can deal wIt bt lonely nights ain't wat I want...smh..I don't wait fa love,it wait upon me. Don'trush feelings,I wait to feel"
"Oh my gosh, without makeup, all of you bitches are beasts. Even so, you all look like Homer da Clown! Fucking return of the living dead. I am killing myself laughing, I am just saying",2.0,3.0,1.0,8.0,2.0,4.0,0.0,"Omg without makeup Yall bitches are beasts,even so Yall goes look like Homer Da Clown! Fuckin return of Daliving dead Kmsl ..just saying*"
She might have been there with me from the beginning but the only thing that matters is who is going to be there for you at the end,7.0,6.0,9.0,2.0,8.0,3.0,4.0,She Might Of been there from The Beginning But it Only matters who gonebe there at the end
"Don’t talk or listen. They will observe and if it interests them they pay attention. Wow, this is really me!",6.0,8.0,7.0,2.0,4.0,9.0,8.0,"don't talk or listen. They observe and if it interests them then they pay attention.""Wow this is really me!"
"To be clear, no Illinois brothers have won any step show in Illinois in 20years before 07 did it",6.0,4.0,3.0,7.0,8.0,2.0,1.0,2 be clear NO Illinois Bruhz won any step show in Illinois in 20years before 07 did it....
My brother said pray for my exes. The sad girl said she was going to deal with a new caliber of dudes. She's a gold digger. I'm laughing.It must be a southern thing,4.0,2.0,3.0,5.0,6.0,7.0,1.0,My bro said pray for my exs sad one said she gonna deal wit a new caliber dudes aka gold digger lolmust be a southern thing
"To all the single chicks who don't need a man and are taking their Christmas tree out tothe alley this weekend, laugh-out-loud",2.0,3.0,4.0,8.0,6.0,1.0,2.0,2 all the single chicks dat don't need a man and taking they xmas tree out tothe alley this wkend lol
I'm happy as shit. These new shoes that just came out are about tobe on my feet! Fuck yeah,4.0,2.0,3.0,6.0,8.0,1.0,5.0,"I'm happy is shit. Dem new SHOES that just came out bout tobe on my feet!!-fck yea,,,"
"I've been talking about this ignorant (but true) shit for over 15 years...but NOW it's hitting home once thirtiescome into the picture. I'm going to chill, though",8.0,9.0,8.0,6.0,7.0,2.0,9.0,I been talking this ignant (but true) shit for over 15 years...but NOW its hitting home one 30scome into picture...imma chill tho
Yes I’m a bears fan. If after nice years Frazier is not making the playoffs consistently then yeah he probably will be fired.,4.0,6.0,3.0,7.0,5.0,2.0,8.0,Yes I'm a bears fan. If after 9 years Frazier is not making the playoffs consistently they yeahe probably will be fired.
